"ligand","receptor","file"
"A1BG","A2M","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A1BG","ANXA7","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A1BG","CRISP3","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A1BG","HNF4A","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A1BG","PRDX4","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A1BG","SNCA","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","A2M","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","ADAMTS1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","ADAMTS12","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","ADAMTS7","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","ALPP","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","AMBP","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","ANXA7","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","APOA1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","APOD","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","APOE","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","APP","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","ARL8B","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","ATP1B3","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","AZU1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","B2M","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","BSG","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","BTD","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","CD276","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","CD36","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
