hgnc_symbol	curated_protein_type
SBSPON	ECM/Receptor/Ligand
EFEMP2	ECM/Receptor/Ligand
TINAGL1	ECM/Receptor/Ligand
LOXL2	ECM/Receptor/Ligand
EFEMP1	ECM/Receptor/Ligand
LAMA5	ECM/Receptor/Ligand
RELN	ECM/Receptor/Ligand
COLQ	ECM/Receptor/Ligand
LTBP4	ECM/Receptor/Ligand
LTBP1	ECM/Receptor/Ligand
FBLN5	ECM/Receptor/Ligand
NPNT	ECM/Receptor/Ligand
VTN	ECM/Receptor/Ligand
WNT4	ECM/Receptor/Ligand
VWC2	ECM/Receptor/Ligand
APOE	ECM/Receptor/Ligand
LGALS3BP	ECM/Receptor/Ligand
APLP1	ECM/Receptor
ADAM11	ECM/Receptor
IMPG2	ECM/Receptor
TINAG	ECM/Receptor
DAG1	ECM/Receptor
FGFR2	ECM/Receptor
FZD4	ECM/Receptor
GRIN1	ECM/Receptor
IL1RL1	ECM/Receptor
ITGAV	ECM/Receptor
ITGB1	ECM/Receptor
ITGB4	ECM/Receptor
ITGB8	ECM/Receptor
LRP5	ECM/Receptor
TGFBR3	ECM/Receptor
ZP2	ECM/Receptor
CD4	ECM/Receptor
DMBT1	ECM/Receptor
F3	ECM/Receptor
PTPRZ1	ECM/Receptor
SPN	ECM/Receptor
SSC5D	ECM/Receptor
TNFRSF11B	ECM/Receptor
ITGA6	ECM/Receptor
AGRN	ECM/Receptor
ANXA2	ECM/Receptor
ZP3	ECM/Receptor
ZP4	ECM/Receptor
CILP	ECM/Ligand
LAMB4	ECM/Ligand
PAPLN	ECM/Ligand
FREM1	ECM/Ligand
EGFLAM	ECM/Ligand
C6orf15	ECM/Ligand
VIT	ECM/Ligand
ADAMTSL4	ECM/Ligand
CCDC80	ECM/Ligand
MAMDC2	ECM/Ligand
KAZALD1	ECM/Ligand
SMOC2	ECM/Ligand
SMOC1	ECM/Ligand
NTN4	ECM/Ligand
FN1	ECM/Ligand
SERPINE1	ECM/Ligand
VWF	ECM/Ligand
VEGFA	ECM/Ligand
TGFB1	ECM/Ligand
THBS1	ECM/Ligand
TIMP1	ECM/Ligand
TIMP2	ECM/Ligand
MMP13	ECM/Ligand
ANG	ECM/Ligand
COL4A3	ECM/Ligand
COL5A1	ECM/Ligand
LAMB1	ECM/Ligand
BMP4	ECM/Ligand
TGFB3	ECM/Ligand
WNT1	ECM/Ligand
TGFB2	ECM/Ligand
ADAMTS8	ECM/Ligand
ADAMTS5	ECM/Ligand
HSP90B1	ECM/Ligand
THBS4	ECM/Ligand
WISP1	ECM/Ligand
MFGE8	ECM/Ligand
WNT2	ECM/Ligand
LPL	ECM/Ligand
ADAMTS13	ECM/Ligand
BMP1	ECM/Ligand
WNT7A	ECM/Ligand
IHH	ECM/Ligand
COL3A1	ECM/Ligand
ECM1	ECM/Ligand
LAMA2	ECM/Ligand
LAMA4	ECM/Ligand
LAMB2	ECM/Ligand
MYOC	ECM/Ligand
TGFBI	ECM/Ligand
WNT5A	ECM/Ligand
AMELX	ECM/Ligand
LEFTY2	ECM/Ligand
WISP3	ECM/Ligand
WNT10B	ECM/Ligand
WNT3	ECM/Ligand
SHH	ECM/Ligand
CTHRC1	ECM/Ligand
LAMA3	ECM/Ligand
NDP	ECM/Ligand
FGF10	ECM/Ligand
PXDN	ECM/Ligand
WNT9A	ECM/Ligand
ECM2	ECM/Ligand
LAMA1	ECM/Ligand
OGN	ECM/Ligand
RARRES2	ECM/Ligand
SERPINE2	ECM/Ligand
TNN	ECM/Ligand
WISP2	ECM/Ligand
EGFL6	ECM/Ligand
WNT16	ECM/Ligand
WNT3A	ECM/Ligand
WNT8A	ECM/Ligand
WNT8B	ECM/Ligand
WNT9B	ECM/Ligand
BMP7	ECM/Ligand
WNT11	ECM/Ligand
WNT7B	ECM/Ligand
COL16A1	ECM/Ligand
CYR61	ECM/Ligand
EGFL7	ECM/Ligand
SFRP2	ECM/Ligand
WNT5B	ECM/Ligand
PLSCR1	ECM/Ligand
AMBN	ECM/Ligand
NTN3	ECM/Ligand
WNT6	ECM/Ligand
FGF1	ECM/Ligand
FGF9	ECM/Ligand
GLG1	ECM/Ligand
MMP14	ECM/Ligand
MUC4	ECM/Ligand
WNT10A	ECM/Ligand
WNT2B	ECM/Ligand
ODAM	ECM/Ligand
COL6A6	ECM/Ligand
COL6A5	ECM/Ligand
MATN2	ECM/Ligand
NCAN	ECM/Ligand
ADAMTS3	ECM/Ligand
MATN3	ECM/Ligand
CHAD	ECM/Ligand
COCH	ECM/Ligand
ZG16	ECM/Ligand
MMP20	ECM/Ligand
KERA	ECM/Ligand
CRTAP	ECM/Ligand
ADAMTS2	ECM/Ligand
NTN1	ECM/Ligand
SERPINA1	ECM/Ligand
CST3	ECM/Ligand
COL1A1	ECM/Ligand
COL2A1	ECM/Ligand
COL4A1	ECM/Ligand
APCS	ECM/Ligand
APOH	ECM/Ligand
ALB	ECM/Ligand
STATH	ECM/Ligand
MMP1	ECM/Ligand
SLPI	ECM/Ligand
CLEC3B	ECM/Ligand
COL5A2	ECM/Ligand
CTSD	ECM/Ligand
DCN	ECM/Ligand
COL1A2	ECM/Ligand
MMP2	ECM/Ligand
MMP3	ECM/Ligand
SOD3	ECM/Ligand
CTSG	ECM/Ligand
MGP	ECM/Ligand
MMP7	ECM/Ligand
MMP10	ECM/Ligand
SPARC	ECM/Ligand
FREM3	ECM/Ligand
RBP3	ECM/Ligand
HAPLN1	ECM/Ligand
LAMC1	ECM/Ligand
COL11A1	ECM/Ligand
COL6A1	ECM/Ligand
COL6A2	ECM/Ligand
COL6A3	ECM/Ligand
COL11A2	ECM/Ligand
NID1	ECM/Ligand
MMP9	ECM/Ligand
ELN	ECM/Ligand
ACAN	ECM/Ligand
PI3	ECM/Ligand
COL9A1	ECM/Ligand
BGN	ECM/Ligand
MATN1	ECM/Ligand
MMP8	ECM/Ligand
FBLN1	ECM/Ligand
KAL1	ECM/Ligand
PRTN3	ECM/Ligand
MMP11	ECM/Ligand
TNC	ECM/Ligand
COL8A2	ECM/Ligand
COL5A3	ECM/Ligand
CFP	ECM/Ligand
