"","set1_126","set1_127N","set1_127C","set1_128N","set1_128C","set1_129N","set1_129C","set1_130N","set1_130C","set1_131N","set1_131C","set1_132N","set1_132C","set1_133N","set1_133C","set1_134N","set2_126","set2_127N","set2_127C","set2_128N","set2_128C","set2_129N","set2_129C","set2_130N","set2_130C","set2_131N","set2_131C","set2_132N","set2_132C","set2_133N","set2_133C","set2_134N","set3_126","set3_127N","set3_128N","set3_129N","set3_129C","set3_130N","set3_131N","set3_132N","set3_133N","set3_134N"
"P13929",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P01880",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.60880924267552,5.25927248703759,9.29645740737124,5.98868468677217,6.26115467261557,5.73063995591679,5.66106547980695,5.69209237542757,5.53605290024021,5.56985560833095,7.96000193206808,5.63517394667492,5.66106547980695,5.49825086752783,5.69488019279919,5.59395128394841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P31150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8703647195834,6.11894107272351,6.09169983413681,5.85798099512757,6.91288933622996,6.34518344718767,6.14974711950468,7.15279185163912,6.51727569320958,5.55458885167764,6.67383905599044,6.44625622988956,7.23744899563932,7.41869594960205,6.91408609701272,7.32553033156756,6.58195375084882,6.56376827845203,6.31288295528436,6.14771372235215,6.09592441999854,6.50462039240355,6.5713734359732,6.76686014382955,6.10013667128545,6.35755200461808
"Q99733",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q10567",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q15833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q14240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P19022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.76950729143624,7.35049724708413,7.04111153536915,7.07681559705083,6.78659636189081,6.61765111942733,7.2364926183813,7.43295940727611,7.55765515472542,7.02901108665907
"P38919",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P01699",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4446008137115,6.11478344724985,6.39231742277876,6.70735913208088,6.24031432933371,6.94485844580754,6.68929916053589,6.31469652565629,6.67101024127845,6.65963918701565,6.61618123133188,6.97956810009519,6.95535930524299,6.86046625851717,6.66817586897014,6.7045953476324,7.61176256006487,6.50143914515887,6.42794133250948,6.10223819393074,6.53760669149529,7.75888943272096,7.26021388677142,6.10643207781693,6.69627208392586,6.99095486039699
