"","HD10","HD1","HD2","HD3","HD4","HD5","HD6","HD7","HD8","HD9","Pz111","Pz12","PZ148","Pz15","Pz16","PZ178","Pz25","PZ285","Pz28","PZ387","PZ390","PZ409","PZ49","PZ55","PZ69","Pz7","PZ90","PZ93","PZ94","PZ95"
"A0A024QZN4;V9HWK2;P18206;B3KXA2;B4E3Q9;Q5JQ13",-0.967729,-2.052492,-1.761505,-2.13301,-4.670445,-7.22488,-2.586575,0.068788,-2.38151,-2.196995,-5.402435,-4.6606,-1.532845,-3.990535,-2.68633,-1.83697,-4.24454,-6.306065,-2.47741,-4.701635,-5.46724,-6.48367,-1.94364,-0.376314,-3.547725,0.5472685,-3.34068,-5.527405,-6.470125,-4.52517
"A0A024R035;P02748",4.254475,3.970795,3.818635,4.19523,4.17741,2.83733,2.82354,4.624535,3.93936,3.84073,5.04148,3.960395,5.41699,5.10146,6.097855,4.931895,6.140615,4.6567,6.16365,4.38137,3.86667,2.131815,4.94539,6.78774,3.782615,6.12245,5.302515,4.189715,5.691085,5.65566
"K7ERI9;A0A024R0T8;P02654;K7EKP1;K7EJI9;K7ELM9;K7EPF9",5.17584,5.0269075,4.611505,6.540315,6.36824,5.68462,4.734545,5.10017,5.14521,5.38657,3.52464,2.79161,4.272925,2.11568,1.151475,3.210315,4.10293,2.850625,1.189555,4.192385,5.08171,4.896345,4.733165,3.49581,6.522015,5.07602,3.13962,3.7298,1.90358,3.69064
"A0A024R1Q4;A0A024R1G8;O14791;U5LKM6;U5LI90;U5LGU2;U5LH96;U5LKG0;U5LH46;U5LKP5;U5LKJ0;U5LKH9;U5LIH6;U5LIG7;U5LHF6;U5LKQ0;U5LIJ1;U5LKT7;U5LIA9;U5LGY0;A0A1B2FJ89;A0A1B2FJP1;A0A1B2FJD8;A0A1B2FJC1;A0A1B2FJ11;A0A1B2FIW1;A0A1B2FKD8;A0A1B2FK76;A0A1B2FK40;A0A1B2FJZ7;A0A1B2FJH1;A0A1B2FJE5;A0A1B2FJ64;A0A1B2FJ32;A0A1B2FIX3;A0A1B2FIW3;A0A1B2FK27;A0A1B2FJX9;A0A1B2FJS4;A0A1B2FJK3;A0A1B2FJJ4;A0A1B2FJI7;A0A1B2FJ82;A0A1B2FK65;A0A1B2FK26;A0A1B2FJV6;A0A1B2FJU3;A0A1B2FJQ0;A0A1B2FJI3;A0A1B2FJD3;A0A1B2FJB2;A0A1B2FJB1;A0A1B2FJA9;A0A1B2FJ38;A0A1B2FJ21;A0A1B2FIY0;A0A1B2FIW9",2.51745,2.2590875,1.414725,2.686875,3.249465,2.474055,0.3890405,2.50155,1.86064,1.865395,2.30658,2.648575,2.18297,2.32009,2.50388,3.49871,2.553475,0.9834565,2.79532,0.40460885,0.7971145,-1.1159215,1.621505,4.56016,3.528105,2.787185,2.5887,1.75281,2.78752,2.030025
"A0A024R1U8;P22692",-0.54244,-1.6655415,-4.666325,0.0109755,-0.649376,-3.431715,-6.174835,-2.240525,-1.18161,-1.132775,-1.070285,-3.703045,-2.27016,-3.315255,-0.9414905,-3.26047,1.88649,-2.227785,1.48013,-4.176305,-4.505675,-6.481205,-4.11696,0.1461975,-0.472086,-1.372899,0.3286755,-5.709735,-0.8601685,-0.1461656
"A0A024R3E3;P02647;F8W696",10.1989,9.702115,9.406265,10.4994,10.14105,10.024055,8.878405,9.881625,9.79355,9.24145,9.125525,8.724875,8.853175,8.224485,8.500205,9.27949,9.153325,7.39946,8.258555,8.33374,7.933065,8.39949,8.438225,10.20055,9.68002,9.14677,9.12309,8.644665,8.71835,8.609805
"A0A024R462;B7ZLE5;P02751;Q6MZM7;Q6N084;Q59G22;Q68CX6",-0.0840969,-3.04767095,-6.15154,3.568105,3.70546,-1.136815,0.1638545,-3.259735,1.593825,2.329075,2.758425,4.1964,4.76748,4.12879,3.93923,5.211165,4.34629,-2.93611,5.57296,-0.7934315,-4.285085,-6.456775,2.861025,5.800335,3.833305,4.07634,4.681965,4.48509,5.26249,4.0992
"A0A024R4F1;P06733;E2DRY6",-1.90035,-2.7138475,-3.212015,-1.35565,-3.926995,-7.72695,-3.15634,-1.909375,-2.89391,-3.46944,-5.238415,-3.709635,-2.119955,-3.875345,-3.550575,-2.718725,-4.903715,-5.448765,-1.910775,-5.99264,-5.470875,-5.33698,-1.5206715,-1.131762,-4.05746,-0.3682915,-2.7006,-6.294145,-4.032985,-3.899365
"A0A024R694;P12814;H9KV75;B7Z565;Q86TX4;B4DFY0",-0.834134,-2.494907,-2.104515,-2.14397,-5.66684,-6.697555,-3.84245,-0.0433155,-2.280755,-3.291615,-5.87637,-5.98555,-1.1966655,-5.455145,-5.857865,-1.0556955,-4.24287,-7.365325,-4.58223,-6.899135,-6.92149,-6.76623,-3.62156,-0.290179,-3.47928,-0.249248,-5.452025,-4.59734,-5.51013,-5.602795
"A0A024R6I6;G3V2W1;Q9UK55",-0.2197076,-0.2266988,-1.0524415,0.1118471,0.862901,-2.078705,-1.186855,-0.07718535,-0.5638705,-0.6729395,-0.9725725,0.432679,-0.024749295,0.8564385,1.883805,-0.436207,2.05575,0.6867025,1.44886,0.507713,-0.228006,-0.3468784,-0.1664863,1.61639,-0.64797835,2.09233,0.9117955,-2.305325,1.69723,1.200535
