"","Normal_24","Normal_25","Normal_26","Normal_27","Normal_28","Normal_29","Normal_30","Normal_31","Normal_32","Normal_33","Patients_1","Patients_2","Patients_3","Patients_4","Patients_5","Patients_6","Patients_7","Patients_8","Patients_9","Patients_10","Patients_11","Patients_12","Patients_13","Patients_14","Patients_15","Patients_16","Patients_17","Patients_18","Patients_19","Patients_20","Patients_21","Patients_22","Patients_23"
"A0A075B6I0",4.1221331810923,4.07061017183048,4.04368548825184,4.11304878116184,4.04909362134409,4.10472488042466,4.23015669460753,3.92288454287523,4.21798521655192,4.23148606227088,4.15450840505231,4.11929223229967,4.12319589367103,4.06102787563767,4.12354366837539,4.00252575595916,4.12224626021288,4.12852992739096,4.13805917380414,4.15676986683561,4.11483079532086,3.99099593040695,4.24279638719629,4.10777515813133,4.19233517106529,4.18748163427794,4.15894005468152,4.1473596837773,4.136376342362,4.1431656694708,4.13620430648607,4.06030226084826,4.06047647692642
"A0A075B6I9",3.94738829533086,NA,3.93007715231382,3.99939060525974,4.10165268831615,4.09624439326184,4.10697795259087,4.04762387142823,3.92834456367641,4.11095740015232,4.06329621957757,4.02999153481513,3.89471501659937,4.05593204719395,3.84805417209643,4.00781562264207,4.13901962950697,3.93002203505274,3.93116569030431,NA,3.99925908437016,3.86350883387751,4.0290896242233,4.03898788854696,4.10571369577019,4.054846752113,4.07214507240751,4.08072846859637,3.99739108511876,3.96591864031902,3.88372136237231,NA,4.12572389571174
"A0A075B6J9",3.89823639198535,3.82693383312198,3.86007296070817,3.91160829215614,4.01529984782358,3.90680663182458,3.99607821934223,3.87463624096983,3.9191521575412,3.87132810251064,3.93827759105904,3.96416795632275,3.94652718981567,3.8370643401134,3.92625470381142,3.91030469550437,3.90368079467297,3.90181326298741,3.80485937496756,3.77432820020237,3.91757259369015,3.88793565054567,3.88213651980254,3.85174213859473,3.96371917545003,3.96081233778128,3.969526661709,4.0302818801334,3.9329928995506,3.78886545231502,3.80153556049438,3.8586697844532,3.85917386675823
"A0A075B6K2",3.60360643789721,3.55832547292727,NA,3.91896990213607,3.42029933935199,3.52955234138811,3.60689947268162,NA,3.63410615096286,3.68675716158007,3.62216658881314,3.66914012126675,NA,NA,NA,3.47676141556601,3.37680826296544,NA,3.63898896928512,3.634040382993,3.48083398539073,3.42808550660662,3.56134748192459,3.57185407098076,3.64256100770814,3.53990549808904,3.56584725478994,3.88941143941574,3.51256184055585,NA,NA,NA,NA
"A0A075B6K5",4.15346609445842,4.09067495565536,4.05233579144722,4.22689439203651,4.11263386888756,4.01645341701104,4.05560593026816,4.08228773094727,4.18237696568581,4.16029059796176,4.04015464402209,4.11052341070817,4.02010020098341,3.98612656360371,4.03785302780239,4.06945298346094,4.12682701652817,4.07509645090893,4.06464583088851,3.95319490280317,4.05096819173114,4.07339704820227,4.10427768287946,4.17020488587062,4.18113430201936,4.17342275806771,4.22320558434711,4.11703670042234,3.93765007175755,4.0593028631547,4.0957337281994,4.08518753434821,4.03916085845834
"A0A075B6P5",4.29143668114316,4.31035445132426,4.25756438546005,4.21880630833203,4.24029844280905,4.25072853021973,4.25029201761715,4.23941633176733,4.26753000741173,4.27126900664292,4.23580779613365,4.25607182070399,4.19252701210372,4.21706286938571,4.21778459598817,4.19468074834649,4.27082364319384,4.25443865715818,4.26017855188131,4.21345150265783,4.19257609841402,4.23089789354653,4.25747395890844,4.18347104595673,4.28674807221511,4.27142484919631,4.27656338201693,4.26937259474689,4.23653543416041,4.22963540005041,4.23787772004627,4.2268363873034,4.25001953905061
"A0A075B6Q5",3.70576527663424,3.83949422442595,3.9231181036377,3.73345342790124,3.86651304844502,3.90073568329892,3.78041948334259,3.90077658150904,3.81780578990076,3.99140174526347,3.93517019291359,3.89482057778925,3.91306938230653,3.93392962792197,3.57837762827579,3.78462913823769,3.92649829946609,3.89467361069635,3.86276774564757,3.83411108639253,3.71866917238793,3.8835742540474,3.81344344774079,3.87100386300567,3.85283728464556,3.92574762168514,3.94157454298873,3.88760316287816,3.84699880972728,NA,3.84275555239541,3.94762366792985,3.96852657526941
"A0A075B6R2",3.69600099565118,3.75435285772429,3.60883885768589,3.65936127162049,3.67745201277474,3.7841281843164,3.66393245445176,3.68815506285286,3.75933772105112,3.94572383393064,3.67113184140777,3.69127155544479,3.74149645565711,3.76335050607208,NA,NA,3.71416998785925,3.81426396988434,NA,NA,NA,NA,3.79391044464993,3.81185347105799,3.7799586619991,3.70138408816398,3.80442965060416,NA,NA,3.74118357733438,3.56798324647724,3.66396665307416,3.93420999446686
"A0A075B6S2",3.95724400350979,3.95890204298604,3.92338023198961,3.92361656689349,4.01650971249525,3.83848740816013,3.97958599801046,3.60669391625185,3.94864701049092,3.91762203901793,3.60007301185913,3.9665872281257,NA,NA,NA,NA,3.93907974067882,3.90432732108424,NA,3.86370201037532,3.86046803862497,3.89752430742884,3.9208153126544,NA,3.96497166281836,3.97672094840643,3.87258191448802,3.94455494225874,3.72736131398495,3.59898290689195,3.77087291252014,3.70204862912036,NA
"A0A075B6S6",3.95860792501183,3.94551930373164,3.76819803594459,3.89298150448857,3.88546867569105,3.73834690493803,3.95095948847587,3.99449023802008,3.77643064794732,3.92059044022836,4.10578385215367,3.64478794951789,3.76915351297848,3.99971897630236,3.80899676002865,3.86297214230723,3.89001605645036,3.70335608541798,3.75110734441835,3.83940224429759,3.76941963598642,3.85875586895911,3.85581789008882,3.89852108174583,3.93598687072825,3.98854439628355,3.9612435145462,3.96413342664946,3.91571609047741,3.89578045089047,3.90334324225405,3.80826609193556,3.91713986038943
