"","Q1_TCH","Q2_ZWB","Q3_WJH","Q5_JYJ","Q9_CT","Q11_CCH","Q14_SZF","Q16_CJQ","Q17_CGS","Q20_BXX","Q32_LJM","Q33_JYH"
"A0A075B6I0",21.2750245148326,21.9069454753497,19.1187516971936,23.1746905728806,NA,21.4413336549697,22.8953332314397,19.383073534881,21.7729436641854,22.4025907672572,20.3545364227487,21.9633298612629
"A0A075B6I9",19.0500459897522,21.2780018325368,18.1605247856549,18.2592617932432,20.3355579222551,19.3496389812692,19.0937518047336,19.2390268473355,18.0610869153195,18.0206130263193,19.3436778458717,18.5300375262207
"A0A075B6J9",16.7399202630223,19.4009861498506,17.5001196733668,18.6752625262244,18.8511831137102,16.6421697418209,17.0886324593029,16.9436560894887,18.5748493896226,18.7754395282537,18.3870311950491,17.4556110385262
"A0A075B6K2",NA,18.795515705699,18.626234635505,18.6944459924924,NA,18.5055490697403,19.3527073399005,NA,16.807149784788,17.11567971085,18.6940131442924,19.4994492006019
"A0A075B6K4",16.7644564483794,18.0116106390408,17.2254455577577,17.9026081104832,19.7027436385695,19.1639381248127,15.7732535384497,15.6396720733344,16.6828247141032,16.7295943351741,19.0042018990531,20.5606725888907
"A0A075B6K5",20.7851867642006,20.6355191521041,20.7032329258017,19.4439481376854,18.4738208959581,20.2357162091487,19.0574101624614,19.3399749405988,18.4993117631449,19.4756346928234,20.2168541079607,19.9215419402669
"A0A075B6P5",20.8013543536878,20.0293478205392,19.2143806261775,19.0304105992463,19.3940671960817,19.4193467553898,20.0376730704566,19.704767319084,17.5191016198367,18.6692523314331,19.701271625201,19.6281553339726
"A0A075B6S2",NA,NA,14.745433988258,12.6563675462156,16.2849685047169,15.6223022652274,NA,NA,14.2808804440814,NA,NA,14.9571895501498
"A0A075B6S5",19.233632172072,NA,NA,16.5367594782644,16.7198625719976,15.8177317504654,NA,NA,16.6032840078391,18.5953936880565,17.9544119379974,18.6060640375425
"A0A087WSX0",21.2339925285224,21.6325245663043,20.5268703949635,19.7875518440947,20.6668071134239,20.0916801663124,19.4000410114044,19.7578789420252,18.7653024607357,18.8546855009647,20.523146777679,18.8510144841736
