"","X001_VirologieP1.1.1_A1","X003_VirologieP1.1.1_A3","X004_VirologieP1.1.1_A4","X006_VirologieP1.1.1_A5","X007_VirologieP1.1.1_A6","X009_VirologieP1.1.1_A8","X010_VirologieP1.1.1_A9","X011_VirologieP1.1.1_A10","X012_VirologieP1.1.1_A11","X015_VirologieP1.1.1_B1","X017_VirologieP1.1.1_B3","X018_VirologieP1.1.1_B4","X019_VirologieP1.1.1_B5","X020_VirologieP1.1.1_B6","X021_VirologieP1.1.1_B7","X023_VirologieP1.1.1_B8","X025_VirologieP1.1.1_B10","X026_VirologieP1.1.1_B11","X028_VirologieP1.1.1_C1","X031_VirologieP1.1.1_C3","X032_VirologieP1.1.1_C4","X033_VirologieP1.1.1_C5","X034_VirologieP1.1.1_C6","X036_VirologieP1.1.1_C8","X037_VirologieP1.1.1_C9","X039_VirologieP1.1.1_C11","X042_VirologieP1.1.1_D1","X045_VirologieP1.1.1_D4","X047_VirologieP1.1.1_D6","X049_VirologieP1.1.1_D8","X050_VirologieP1.1.1_D9","X052_VirologieP1.1.1_D10","X053_VirologieP1.1.1_D11","X055_VirologieP1.1.1_E1","X057_VirologieP1.1.1_E3","X058_VirologieP1.1.1_E4","X061_VirologieP1.1.1_E6","X064_VirologieP1.1.1_E9","X065_VirologieP1.1.1_E10","X066_VirologieP1.1.1_E11","X069_VirologieP1.1.1_F1","X071_VirologieP1.1.1_F3","X072_VirologieP1.1.1_F4","X073_VirologieP1.1.1_F5","X075_VirologieP1.1.1_F6","X076_VirologieP1.1.1_F7","X078_VirologieP1.1.1_F9","X079_VirologieP1.1.1_F10","X080_VirologieP1.1.1_F11","X082_VirologieP1.1.1_G1","X086_VirologieP1.1.1_G4","X087_VirologieP1.1.1_G5","X088_VirologieP1.1.1_G6","X089_VirologieP1.1.1_G7","X090_VirologieP1.1.1_G8","X091_VirologieP1.1.1_G9","X093_VirologieP1.1.1_G10","X094_VirologieP1.1.1_G11","X096_VirologieP1.1.1_H1","X098_VirologieP1.1.1_H3","X099_VirologieP1.1.1_H4","X107_VirologieP1.1.1_H11","X109_VirologieP2.1.1_A1","X111_VirologieP2.1.1_A3","X112_VirologieP2.1.1_A4","X113_VirologieP2.1.1_A5","X115_VirologieP2.1.1_A6","X116_VirologieP2.1.1_A7","X117_VirologieP2.1.1_A8","X118_VirologieP2.1.1_A9","X119_VirologieP2.1.1_A10","X123_VirologieP2.1.1_B1","X125_VirologieP2.1.1_B3","X126_VirologieP2.1.1_B4","X127_VirologieP2.1.1_B5","X128_VirologieP2.1.1_B6","X129_VirologieP2.1.1_B7","X131_VirologieP2.1.1_B8","X132_VirologieP2.1.1_B9","X134_VirologieP2.1.1_B11","X138_VirologieP2.1.1_C3","X140_VirologieP2.1.1_C4","X141_VirologieP2.1.1_C5","X142_VirologieP2.1.1_C6","X143_VirologieP2.1.1_C7","X144_VirologieP2.1.1_C8","X145_VirologieP2.1.1_C9","X146_VirologieP2.1.1_C10","X148_VirologieP2.1.1_C11","X150_VirologieP2.1.1_D1","X152_VirologieP2.1.1_D3","X153_VirologieP2.1.1_D4","X154_VirologieP2.1.1_D5","X156_VirologieP2.1.1_D6","X157_VirologieP2.1.1_D7","X158_VirologieP2.1.1_D8","X159_VirologieP2.1.1_D9","X161_VirologieP2.1.1_D11","X163_VirologieP2.1.1_E1","X166_VirologieP2.1.1_E3","X168_VirologieP2.1.1_E5","X169_VirologieP2.1.1_E6","X170_VirologieP2.1.1_E7","X171_VirologieP2.1.1_E8","X172_VirologieP2.1.1_E9","X174_VirologieP2.1.1_E10","X177_VirologieP2.1.1_F1","X179_VirologieP2.1.1_F3","X180_VirologieP2.1.1_F4","X182_VirologieP2.1.1_F5","X183_VirologieP2.1.1_F6","X184_VirologieP2.1.1_F7","X185_VirologieP2.1.1_F8","X186_VirologieP2.1.1_F9","X187_VirologieP2.1.1_F10","X188_VirologieP2.1.1_F11","X191_VirologieP2.1.1_G1","X193_VirologieP2.1.1_G3","X194_VirologieP2.1.1_G4","X195_VirologieP2.1.1_G5","X196_VirologieP2.1.1_G6","X197_VirologieP2.1.1_G8","X197_VirologieP2.1.1_G7","X200_VirologieP2.1.1_G9","X201_VirologieP2.1.1_G10","X202_VirologieP2.1.1_G11","X204_VirologieP2.1.1_H1","X206_VirologieP2.1.1_H3","X208_VirologieP2.1.1_H4","X210_VirologieP2.1.1_H6","X215_VirologieP2.1.1_H11"
"A1BG",10.427273615699,10.2010985968281,10.280823842062,10.1815023070467,10.1699300841941,10.2186124544822,10.1970720355794,10.3415836651304,10.4483126274544,10.5189647539432,10.2111001136618,10.2368826991767,10.2919462079875,11.4238192173044,10.2969062973146,10.2223369867696,10.1717655944776,10.4148763753657,10.4607810668105,10.3203936858632,10.519974927275,11.0770376789697,10.3605450529622,10.547305245797,10.9232451293679,10.4593827809811,10.382364541728,11.1232706373124,11.7177348559167,11.2193141945462,11.1300758559327,10.1968165357236,10.6260485528619,10.4811929221313,10.8803066971085,10.6080028760672,10.6745096085166,11.5042698666601,11.7123895261265,10.4259005035313,10.4718520212004,11.7432968603369,11.9868809167867,10.2672596236443,10.2763082475548,10.9970111588368,11.788757504637,11.6545203100165,10.4391645507185,10.4753872907449,11.8235578147735,11.0643123537342,11.009717911762,11.984505942423,10.298039186435,12.0852576491357,11.651295593846,10.4978462579977,10.4185545724565,11.5847953813242,11.4083367170012,10.5367322024695,10.466294020329,10.6190355473524,10.6321097235489,12.4385087325436,12.8585858474552,11.9622872774426,11.8569335493448,10.6904670785573,10.4827058038121,10.4818030061827,10.4493266465845,12.1185938563156,10.465931435932,12.1427826022847,11.8282784568395,11.0189460240575,12.4452723550571,10.3600091826551,12.4980076720691,12.1673174903363,11.4640045388435,12.341638785231,12.4307047905426,12.4433730460272,11.5630832644245,12.5296530747635,10.349698479225,10.5566609456959,10.5264268845715,10.7766324991721,10.592141966523,10.6898836936123,10.6904098255855,10.5494696388176,11.0314797709525,10.6319338118091,10.5556627272086,10.9204716414264,10.6824763301113,11.1218495465623,10.5652520040148,10.6419722623353,10.5438400009884,10.1689009737134,10.4632041757259,12.2040487854062,10.3842536798354,10.5422159064779,10.7032409940483,10.6570513289207,10.6764120165373,11.8305220551891,12.5979087870464,10.4219398892734,10.474033749549,10.5180204371536,12.2897389133011,12.5217644373758,10.4031343359057,10.5480320279738,10.435932547185,12.1606733673423,12.1294963991811,10.2829535084,10.4165172926939,10.4666772183187,10.596996656411,10.3755851950877,10.5705891663537
"A2M",13.3624675057872,13.9066224063819,13.8660363658901,13.8725304982103,13.905002525383,13.9804308579462,13.9821884098162,13.9393842088227,13.3419458365718,13.3522618951414,14.0165557670387,13.9848489604708,13.282398709412,11.8869981915114,13.9094751118775,13.9151651873599,13.9036666486762,13.4250835110906,13.3963079892041,13.8599083277477,13.7590375234585,13.1832542148516,13.9514572702424,13.7914072206542,13.4009196329803,13.3752123335772,13.3828425794041,12.1059010301167,11.8009703761999,12.0094898181103,12.0580277348469,13.9330312665926,13.3179604725285,13.3912418375491,12.4195179733638,12.7871161375249,12.6580675606194,12.6377593702064,12.4074924335794,13.4144062837653,13.3851077173165,12.2195226213981,12.2013621781719,13.0728693584482,13.0542587701757,12.5387599179834,12.0273413885646,11.9254325024509,13.387277020432,13.4022418867763,11.9521053093339,12.3056966676925,12.561359866668,12.1774076975044,14.1075924739269,12.3636046183161,11.9531713087535,13.3654733533461,13.3785799077258,11.9077116920535,12.0891105206302,13.3150592649465,13.4680988864484,13.4107700868411,13.3808145903721,12.4270442752472,12.3681519925674,12.1382274679958,11.9121917588973,12.9764209931825,12.8590123469599,13.4049182503954,13.4510607624774,11.8742358331118,12.7475683667123,11.867168767649,12.7195588466603,12.4392307415728,12.3760294142423,13.4464644043606,12.3576825505993,12.5129756714321,12.5387222205954,11.7935208998927,12.2220012983006,12.1537255470071,12.612995746524,11.6327895051248,13.516325634251,13.3929333191493,12.8188616321057,13.8302329042563,13.8044397224268,13.5110603703293,11.9777984758555,13.3203270104815,13.045674917379,13.335184525482,13.2295706158654,13.3959544019091,13.6029238211858,13.1223796174143,12.9827366344341,13.0075096113143,13.1001922087321,13.2646421872378,13.4702268721148,12.2080472616718,13.401436442985,13.1124498380236,13.1159988496305,13.0657295332714,12.9284324489779,11.9165207933248,11.6043705546801,13.3690232667065,13.4391606435077,12.5171891156056,11.8031607009982,11.8949315434655,13.2194908211014,13.6817719684686,12.4248789075767,12.5128682988582,11.6947791649412,13.2999785753949,13.4802771708278,12.7795758485454,12.9268145191315,13.7715277331311,13.4025225909707
"A2M;PZP",13.039617834062,13.8480971077014,13.6215629809035,13.6372729739391,13.7549826808433,13.6796732472469,13.6273282727824,13.6102220695416,13.0155532234998,12.9605265078952,13.8439828362239,13.7969932622107,13.1537475251021,10.7379313481172,13.7099215501887,13.697002975809,13.613300709497,13.1732020072482,13.119917375973,13.4314509659108,12.9355543617306,11.8671901657128,13.2211403645613,12.8783337928127,12.3079186521711,13.0410553763701,13.1607473064182,11.0136445580865,10.6996728115588,10.5388896113685,10.6894008199141,13.9371807259552,12.7718628297905,13.0549774110757,11.3496967707555,11.9462975815338,11.6420967551665,11.8594037536829,11.051738347362,13.0941053621163,12.9779374789029,10.8358064321542,11.5838990552251,12.647585584959,12.6405267964114,11.4202748185589,11.378799523499,10.6238995379814,13.1519997421239,13.0550862056301,10.5727337482786,11.3677024971767,11.5597432399424,12.1130328408983,14.1186537955731,10.9625521027888,11.675701058382,12.9597668519894,13.2056911903802,11.8990206796225,11.8390358276455,12.8422113986039,13.0783291224213,13.102203031578,12.944914146034,10.8486108300283,11.6004885401488,11.3691420405342,11.2491305494843,12.5125155133849,12.6066735935863,13.1187089707319,13.9965366808799,10.9749090552718,12.485003710795,10.2390204928284,11.7995692748111,11.9442635740163,12.2332781745168,13.1576360672933,11.8534373634558,11.1943287194306,11.8568822813419,11.7641411244728,11.6182978935994,11.5636623962299,11.8285102800661,11.2103666091311,13.1349663831845,12.7475382661496,12.8938983352561,13.4154596980992,13.7382862455023,13.0192714055224,10.3969750501722,12.9927326935999,12.429850153054,12.6400803864379,13.2790822494814,12.9741428350534,13.5190444734061,12.5961835080766,13.1474195617705,12.9258926554305,13.0282379637455,13.1458563696366,13.0834129415871,11.2372855687345,13.1648256560922,13.0480820441436,13.1411564828461,12.7906151689832,12.5935417224742,11.0315812621337,10.6557259168396,13.2167316398185,13.06495769609,12.0000614197281,10.6392443873916,10.6509902554361,12.9861912687996,13.5214031692079,12.1324942882568,11.7940325269062,10.9954185509941,13.2363637644758,13.0868754437362,12.9990486867409,13.0412210071667,13.7435259348456,12.9006279681704
"ACTB;ACTG1",5.70259400684886,6.27388650856916,5.78796317963116,6.05777063539975,6.09912863844997,5.96079814874001,6.02231055382668,6.34771108240769,6.00980581243503,5.96232702171653,5.70331229764218,6.0800597530888,6.26411933696986,6.93129744457397,5.90295513155637,6.08000073704936,6.04299993492241,5.6441878905326,6.17487809874389,5.79039552324412,NA,7.58718850352877,6.19923854636751,6.32263780746561,7.01319525481993,5.68775338120604,5.72101591614528,7.20712521838168,7.59824456693922,7.25830119763466,6.97118948219381,6.4112044962527,6.21200840052815,5.76466009959971,7.10857729697723,6.33485649233149,6.62236711019629,7.42845437436083,7.60758118476961,6.08711420249628,6.47135733572317,7.19522152488725,7.57381314909903,5.93848189518586,6.15051664473876,7.08624184848763,7.25631211710123,8.39103528588105,5.93681907273068,5.97941005116904,7.82678498226923,7.5960583584657,7.65885971676335,7.98614615543941,7.01080945921847,8.20108838233009,9.57821479525014,6.10706280472528,5.74925993051808,8.73900579842736,8.21861503551387,6.48473102310584,5.78408230093753,7.72226282200498,7.50990305016586,8.19462907260749,7.75638311248572,8.31243938060175,7.78703840669844,7.72431214550679,6.31174698079324,5.94009736078209,NA,8.02506230901775,6.81675888578237,7.46470447876646,7.72044766475519,7.66258653180196,7.35339310173372,5.95373947181253,7.23905980097426,7.78781379927833,8.16135141888606,8.61623013857778,7.8235474117981,8.78088579469268,7.96095797706258,8.36836825570998,5.60274410656266,5.85250959831131,7.47094756515148,6.9448254340001,6.86983454968048,7.34219005104918,7.48828181378239,7.31031728930892,7.30896441660711,6.34694664258496,NA,7.32621222650299,7.83384787870106,7.68832022643171,7.49559216221944,7.33354606005061,7.10002417143048,7.35006900634958,5.96783169395311,7.86214574911905,6.84052892398593,7.7356829256541,7.81535203927483,7.20114903118545,6.60787782627822,6.47136345016622,8.18691897822169,5.9984433014361,5.67809489995295,7.43390367654871,8.08060389056683,7.56300317847098,6.41037059638391,7.02169294855282,5.74115053990497,6.07055490020947,8.34912413812921,6.13395046506313,5.80726814045991,7.39412127390171,NA,6.76130990827404,5.99925133051194
"ACTBL2",NA,4.83163913633725,NA,NA,NA,NA,NA,NA,NA,NA,4.36827945380881,NA,NA,NA,4.75576353978899,NA,4.44521022777666,NA,NA,NA,NA,NA,3.9672424007881,NA,NA,4.52760836743312,NA,5.7575860225515,NA,NA,NA,5.17859912535218,NA,NA,NA,NA,4.81746465465804,NA,NA,NA,NA,NA,NA,5.47370899618688,5.09894164181249,NA,NA,NA,3.88578909325465,NA,NA,NA,NA,6.89657459890625,5.10960711715095,NA,NA,NA,4.70552456995483,NA,NA,NA,NA,5.85547649281673,6.32181447817918,NA,NA,NA,NA,6.12188158704228,4.27199331928929,NA,NA,NA,4.96666579051032,6.46814666300327,NA,6.24998757721463,NA,NA,NA,NA,6.36002006772918,NA,NA,NA,NA,NA,3.28153654051241,NA,6.65549494602162,NA,5.85445202932667,5.99248974259382,NA,6.00897982236066,6.35808499956153,NA,NA,5.88343997935455,6.28932176005021,5.62179694523117,5.74629395321545,6.27632171523184,5.8995333590248,NA,NA,NA,5.62609740529679,7.11186596386756,6.97277305674216,5.7906182742357,NA,NA,NA,NA,NA,6.07750578822301,NA,NA,NA,NA,NA,NA,NA,4.19153106771406,NA,4.91892523605986,NA,5.65961635486599,NA
"AFM",8.94345945048639,8.33109770002324,8.37815730238627,8.39405503752119,8.49514579198779,8.47715139056908,8.46769748449554,8.422595352153,8.80091928885459,8.88004630114002,8.59794439919485,8.62036627341354,8.75819541059221,8.31273084206006,8.68250977274094,8.62131517015189,8.59654714849559,8.88595979455622,8.88751796684137,8.55163438177937,8.85447727322409,8.56717982533012,8.894753360123,8.94751001301167,8.72400489062646,8.84821155358152,8.88800971018277,8.23896999300031,7.9942157387341,8.08935918881496,8.52248549845334,8.66149425005259,8.80646166114752,8.85540016169467,8.36620721443069,8.61076229007084,8.6031508662428,8.5748585521742,7.68328468975949,8.89565258154653,9.00301551071833,7.95139912935379,NA,9.18350422068661,8.98348231210159,8.8349403836726,NA,NA,8.8489264348828,8.77821939180328,7.13577261443844,7.89201236513349,8.08345127024956,8.14077273528748,8.50179560021071,7.82836727725076,7.68224711093234,8.82745244666302,8.91223666870737,7.80227370846091,8.35825931511199,8.83708442579049,8.96772557384025,8.59988719782435,8.45731499344919,NA,NA,7.86176541859795,7.56301370361873,8.09492142100265,8.23570138490641,8.76045133626464,8.6847929145496,NA,8.65372359054429,8.44450962097208,8.55489129397656,8.50265533773807,NA,8.79456782572085,NA,8.76568320721095,7.98530243529815,NA,NA,NA,7.50680299946215,7.76853142802725,8.82719041533375,8.79911530286541,8.99792423837235,8.56170795910175,8.66732421996533,8.24973082044706,9.35536122301206,8.28759915507422,8.086395022474,8.80474813632818,9.21479723304949,7.53905550908592,7.94738940088368,7.95643724776779,8.50787818794883,8.23357177310172,7.83799262082594,7.81266190271758,8.80212423890312,NA,7.9839964431591,9.54034317841607,9.28529655584759,9.12029669290234,8.76854082049254,8.26263889947596,NA,8.9534102332438,8.82385818238337,8.21091815319752,7.96757509243066,8.07744706504455,9.24707890504726,8.92359305185996,9.74277057997467,7.96337862644918,NA,8.92069225341449,8.84657166304714,8.54442067079101,8.27473665678285,8.06093716158733,8.86379824668535
"AGT",9.49169824387424,9.17923890171726,9.05540897415752,9.09783761976633,9.05322895952979,8.92444584409551,8.93652652376753,8.95276212086724,9.28939020478543,9.42459467880517,9.00161454948541,9.11539637513036,8.9620633132934,9.95326403446681,9.31936914729979,9.02642446335447,8.95603438667443,9.40693192164206,9.37747298835292,9.05492994960688,9.42481162561783,9.78951833085912,9.22142810069965,8.86128468158937,9.78908961694135,9.3758651695418,9.4203176858301,10.0161264430686,10.170905143918,9.90441064864981,9.68576407014888,9.20407750603441,9.57964661428631,9.53860117621987,9.30897568240641,9.1726720594525,9.19965711009851,9.8848800466033,10.0072190424947,9.31145696852628,9.56923155506581,9.95660817669486,9.86643272093608,9.0617166563494,9.12977019829855,9.44455593414556,10.2905161336381,10.1600387704096,9.42632586744144,9.43340393635117,10.1012997485919,9.97316342991106,10.2319665933935,10.7489275980805,9.37599468087927,10.8414087977077,11.2294047447601,9.49253901205635,9.45416194025594,11.9066159758644,10.9937121129873,9.43810861559005,9.22457551642504,9.84334495778813,10.0309943193035,10.6133166720379,10.4391170595697,10.1532142189668,9.96058400834812,9.48498535444738,9.2210784478574,9.20033602657333,9.83353745323694,10.4064649567195,9.37380707179738,10.4182542852829,10.4949061461579,10.2586457796547,11.1303889157807,9.36082028203525,10.8943496173126,10.7117269691606,10.6895619514222,10.9777736973267,10.8919499136526,11.4516115836061,10.3297416185622,11.4840056829329,9.29243324351207,9.66673080413736,12.4696352891794,9.94651376151542,9.89521160280113,10.0645134957958,9.89597105753298,9.63693193628312,9.75087727045774,9.8220038019618,9.45183846784781,10.3404252548336,10.5430378224898,11.0594211459472,10.1366943248455,10.0603965755041,9.97511809720229,9.58961938685299,9.45728910257719,10.4198317969947,9.66818777204165,10.1488288183002,10.0146201271421,9.72136417228546,9.45281576388997,9.94539178518244,11.6180651938486,9.2450015239143,9.52215353117075,10.432899759302,10.289309473694,10.6196980309059,9.36788263141515,9.97671219812266,9.75122669051129,10.4573980449251,11.2569073396744,9.29820355854458,9.4335451980278,9.44465863215738,9.32944382544192,9.4920631852889,9.55844589871639
"AHSG",12.7418668324709,12.6758534347888,12.8229387665494,12.7472702213699,12.6483266958828,12.8457881299086,12.8312224101087,13.022274492749,12.8689327903086,12.9444558161318,12.809198788131,12.7542215398831,12.1831115914582,13.2801391116995,12.8968042547506,12.9886351405671,13.0458456765589,12.7098108648403,12.7382601410144,13.2223443004801,13.3558706534166,13.7059744797939,13.0833541268597,13.6161845742656,13.7540204058251,12.7150927035133,12.6644203250544,13.1483743495112,12.9462015303004,13.1176762403802,13.0672919071824,12.8340274886231,13.1097931791383,12.8034055472127,13.06046616911,12.9366316871128,13.2051640409966,13.0777081278914,12.8135954149626,12.737127177705,12.8067481239041,12.7423739259513,12.8835979827297,12.4003014632463,12.663524413398,13.1255011885322,12.9809086369418,12.9270857945125,12.5997822015342,12.7668250191087,12.9542723988477,13.2764949176209,13.3374718950754,12.4478964743824,13.1192935797565,12.2394405093495,11.7594114854597,12.8966845050133,12.5893561593398,11.9565570432624,12.234250956981,13.0259505151754,12.5604297755801,12.3666271868981,12.3309761244509,12.714690703127,12.4002742773672,12.0094231949151,12.31568816953,12.2883253596685,12.1053427692022,12.7143454203611,11.6210059360963,12.7625337684872,11.9203446303925,13.1243565111505,12.4798541308762,12.5416319734548,12.9526246787654,12.6722737300601,13.0749127606591,12.8090462466067,11.7828739248866,11.5455827346635,12.055459688548,12.2136557805039,12.6888296566628,12.8342213969688,12.7356382714606,13.2456944875254,11.6546080167858,12.6054955341977,11.9569018545204,12.3414639306057,12.8774313166065,12.1726646114398,12.596544242201,13.0761999888797,12.5238920057874,12.2668137160101,12.1343341690756,12.465983930613,11.5695596509003,11.5206354742623,11.41770696027,11.4193988451841,12.7593145148345,12.050865988298,11.477244882791,12.1834174034037,12.0662059252859,12.0529761741204,11.7941163459078,12.9164451663684,11.8742046576655,12.4613406023752,12.9083846156275,11.3541189207977,12.853974864581,12.8640255027629,12.2696057588943,11.8924152681345,12.2930523404336,12.561607500133,12.3595401986478,12.4214983407457,12.8055206462302,11.6271401440397,12.0013606444501,11.6001944316031,13.0531196367497
"ALB",18.005696928131,18.0608213971745,18.0263687456452,17.8656804967522,17.8341729479275,17.8973722146146,17.9428343789472,17.9623809905239,17.9901451045915,18.0864785575305,17.888267739641,17.8825342604464,17.6606584253247,17.6025919746323,17.985210980674,17.9392918198666,17.9849543835114,17.940164999366,18.0573849223259,18.0734618345255,18.3785330737016,18.2664391988137,18.2654836281822,18.5485664540088,18.4212647530934,18.0193760918167,17.9886480151343,17.8739934883313,16.8345167937234,17.7097296687859,17.7635000246879,17.9900798578074,18.1739270587208,17.9797260169604,18.0245547631679,18.0085434958244,18.0894318802497,17.6252951054036,17.0341160516655,17.9745287389612,18.1620126472899,16.9719634188297,16.8167979582399,17.9523112184716,18.0640499901747,17.7687638911436,17.1596823191497,17.1360436912258,17.952713540893,17.9820049789705,17.1453989131307,17.8221044004835,18.0785411516112,16.8543914254592,17.9144170336026,16.9551943800618,16.881716405623,18.0634004812682,17.9697518673279,16.905834682803,16.8845662819267,18.0900265747867,18.1055809070344,17.8400392719489,17.7941740285798,16.6698931371389,16.5775453843769,17.0448510396007,17.2270262350466,17.8845760799323,17.8931716007643,18.076237341752,17.6628915604527,16.8471309257995,17.7673251781424,17.0270250460518,17.2220409395978,17.8597246341871,16.4613749074463,18.0411108775325,16.6003675405875,16.9286151671655,17.4775325453517,16.4351682547996,16.2134304592764,16.4580403728632,17.3453105620784,17.1079822637359,18.040885347687,18.275913279889,17.6009432637599,17.9617801980739,17.6299676737391,17.9021203655892,17.5514075966246,18.0246979026298,18.0856362865154,18.0543534332558,18.1698602153842,17.4890294133622,17.5789318785358,17.3668373686562,17.4480932843746,17.6008461316004,17.5676677913397,17.515394138411,17.9779756105008,16.6331784396609,17.2840479567557,17.4339699208325,17.3806857009132,17.6076632171202,17.9268021486103,17.7542085755566,16.5999255546521,18.1025100189934,18.0779436812986,17.700206205164,17.2154792226967,16.9330711627739,17.8156651445603,17.6061066751977,17.8814102014921,16.5845131032327,16.969637205494,18.0116625778343,17.9804631225145,17.9247506754183,17.6427734916599,17.9891450775223,18.1397161824753
"AMBP",11.540992488071,11.3853145600263,11.6493018902734,11.690461094589,11.6131270739801,11.6713104120485,11.5934230436673,11.6611498270128,11.4727277294335,11.5866826339295,11.6136314250166,11.6090616930919,11.6010009580747,11.8859167760416,11.620015501545,11.6900917495661,11.626837676282,11.466771955523,11.5611187053044,11.6863328083036,11.4351713882643,11.3372753061456,11.4260935193146,11.4566428838108,11.644079114366,11.4999885375723,11.4934367661261,11.7874272953601,11.5913851744565,11.9238527658103,11.7372521855682,11.6052042901965,11.7415908746085,11.50337120027,11.8876557439521,11.6786243550452,11.8128759251412,11.6999589337992,11.4849035521267,11.5288770459535,11.4976519998099,11.6177808289921,11.7826725941536,11.2793709102941,11.4353362360023,11.6190182077794,11.6481128355848,11.5390311114598,11.567791931892,11.5002991442553,11.4014654892767,11.4890542923256,11.5075923033816,11.8566987743412,11.5882889869619,12.2695894882065,12.0105637125075,11.5855201306554,11.4438044687993,12.0817205579903,11.9121493426403,11.6380226278541,11.5904452042427,11.6747684192177,11.7874793368067,12.2684622467166,12.6719015971499,12.3171585572523,12.2003035988141,11.6961690144114,11.7727694137243,11.5746881018254,11.6832581990894,11.8789162370066,11.6381211221094,11.9186447140931,11.9727532409309,11.9030277102213,12.1040864911388,11.4659098972261,12.0478193027139,12.0965796446601,11.4733859187084,11.6490092436061,12.009413506379,12.2628525443768,12.2049842763476,12.0698750834929,11.5975021008803,11.5118856967951,12.6506375025963,11.5691648912761,11.5133907725045,11.666343563864,11.8584945504528,11.5388344153724,11.870232390598,11.6609436287012,11.5355571739348,11.4940761637788,11.5434170012966,11.7483088709841,11.6565210586306,11.6948608566359,11.6210744984367,11.6265004333576,11.5598774409652,11.8892887225786,11.6390013188502,12.0706593465645,11.8576955927098,12.0038104094136,11.3992805891257,11.9392588777075,12.2970278731309,11.5132059511373,11.5154936820067,12.576062130238,11.8911718438986,12.1429477681149,11.5891483746486,11.6861576002269,11.9369774206105,12.088494401409,11.5717460339458,11.5437679616501,11.4873070600376,11.2592397848555,11.9691848475238,11.8485459364556,11.5547716412029
