"","15001181972.mzML","15001182033.mzML","15001182081.mzML","15001182147.mzML","15001237815.mzML","15001237871.mzML","15001237881.mzML","15001237912.mzML","15001237932.mzML","15001237942.mzML","15001237965.mzML","15001237970.mzML","15001238002.mzML","15001238074.mzML","15001238091.mzML","15001238101.mzML","15001238105.mzML","15001238112.mzML","15001238117.mzML","15001238123.mzML","15001238145.mzML","15001238153.mzML","15001238158.mzML","15001238160.mzML","15001238165.mzML","15001238182.mzML","15001238184.mzML","15001238201.mzML","15001238202.mzML","15001238211.mzML","15001238220.mzML","15001238222.mzML","15001238225.mzML","15001238232.mzML","15001238252.mzML","15001238257.mzML","15001238260.mzML","15001238262.mzML","15001238265.mzML","15001238277.mzML","15001238279.mzML","15001238282.mzML","15001238285.mzML","15001238286.mzML","15001238289.mzML","15001238290.mzML","15001238293.mzML","15001238299.mzML","15001238305.mzML","15001238367.mzML","15001238370.mzML","15001238387.mzML","15001238424.mzML","15001336415.mzML","15001336468.mzML","15001336476.mzML","15001336487.mzML","15001336488.mzML","15001336493.mzML","15001336511.mzML","15001336514.mzML","15001336515.mzML","15001336517.mzML","15001336534.mzML","15001336536.mzML","15001336542.mzML","15001336544.mzML","15001336546.mzML","15001336547.mzML","15001336569.mzML","15001336618.mzML","15001336624.mzML","15001336626.mzML","15001336656.mzML","15001336657.mzML","15001336664.mzML","15001336668.mzML","15001336698.mzML","15001336700.mzML","15001336727.mzML","15001336731.mzML","15001336756.mzML","15001336760.mzML","15001336766.mzML","15001336792.mzML","15001336812.mzML","15001336813.mzML","15001336838.mzML","15001336925.mzML","15001336942.mzML","15001336945.mzML","15001336951.mzML","15001336993.mzML","15001337040.mzML","15001337083.mzML","15001337114.mzML","15001337115.mzML","15001337117.mzML","15001337142.mzML","15001337187.mzML","control_129.mzML","control_130.mzML","control_131.mzML","control_132.mzML","control_133.mzML","control_134.mzML","control_135.mzML","control_136.mzML","control_137.mzML","control_138.mzML","control_139.mzML","control_140.mzML","control_141.mzML","control_142.mzML","control_143.mzML","control_144.mzML","control_145.mzML","control_146.mzML","control_147.mzML","control_148.mzML","control_149.mzML","control_150.mzML","control_151.mzML","control_152.mzML","control_153.mzML","control_154.mzML","control_155.mzML","control_156.mzML","control_157.mzML","control_158.mzML"
"P02787",31.0141444601535,31.176712034052,32.2373040770787,31.260529511198,31.4631496538292,30.67947591319,30.7164906412647,30.4580310608384,30.6281009530957,30.6472034630211,30.8690944199335,30.4535936779223,31.3376405472369,30.1335975493716,31.0459829032983,31.105296305239,30.8470569636586,31.3538440986877,30.7926035528766,30.9461423898327,30.8655252427459,31.5616162332765,31.3138216296931,31.0555295340118,31.5606402381022,31.139488585904,31.5969819226865,31.3780794302019,31.4856869624095,30.730134770302,31.3619777663069,30.9906759935943,31.0786332763235,31.1422828463449,30.744661511015,29.9519536036632,31.2806175879456,31.9675639258934,30.9263768077486,31.4101253629467,30.693226387731,31.3160863458866,29.8426921579663,30.8552582059727,31.1916128965263,30.7538190322363,30.7087008186134,31.0973215242519,30.4630913875332,31.1454726005702,30.6851821972925,31.2343898802714,31.2166413698929,31.1163847344941,30.4053880763397,30.8334663094614,30.7535502605156,30.2275184088851,31.2386353564604,31.5722304438204,31.5109097302735,30.4980671479199,31.199966877762,31.2967525455776,30.6628299168538,31.486418554906,31.1805415806354,30.6757181414565,30.9946687578794,30.7438473413565,31.3718096075191,30.9552001635938,31.0502307935262,30.8245842407556,30.3947244770066,31.4021803999824,30.9374030939558,31.3171734075809,31.073423771373,30.6453066070522,31.0703699346698,31.0170474419445,31.0691486509647,30.7656102548873,30.3322443386064,31.839826191963,31.4836387953006,31.7788826405969,31.0274157047264,31.2780006028606,30.3846333216196,30.8312423820417,30.9399939628357,31.1103574568973,31.5943541089934,31.2187431042516,30.9121969663517,31.3676973521216,31.1907807858583,31.0423271785945,31.861122981217,31.9353789190345,31.8424267886135,31.2614605347671,31.1422490318876,31.6177604685778,31.3193512846096,31.2480843530956,31.9323730982844,31.2946123348624,31.5009956193447,31.6831680045804,30.9340360799654,31.5172760306035,31.4524879747844,31.9607554185011,31.397057526675,31.3599225754886,31.4779632600234,31.4210562725287,31.2835116045568,31.5634356840283,31.6588137935001,31.4844921427147,31.0327071227473,31.6184258305325,31.6044661309893,31.6665444328083,31.6606819948836,31.5738998904802
"P0C0L5",25.9617957792677,26.1112111440753,25.6277596263275,26.4776063541065,25.6242882272256,25.9203400423845,25.8881831356451,25.756998871577,27.2730290742659,26.1950737278839,26.6207322891077,23.655325228384,25.6439079212286,25.3383865675622,24.1409801351832,26.0248880508851,24.5331619306103,25.8898423116109,26.1227344875094,26.6544353231901,26.4142830291238,25.9068579414663,26.2937714962188,26.7907079316443,25.5886622589904,26.1203424637261,24.2888590353703,24.5171103160289,25.8497751236161,25.6772927423261,26.0753128226356,25.1344941618033,25.7551727358552,25.262848279936,26.2027980578251,26.4702125101583,25.7476139246381,25.5089951011314,26.0380426919804,25.7152438639462,26.3216334929258,24.9895272910719,25.4835383031741,26.2386771887867,25.1088442592108,26.1800284149459,26.2145672547912,26.2163727226341,25.1486405803614,24.9006816592956,26.4236178588386,26.6066184721901,25.0697616348584,25.6030661015477,23.6678412510262,25.3972013161742,23.8890020965742,23.97012178083,25.5221416076271,25.8070584917917,26.5713386903574,25.6345946066419,26.0061836079853,25.6074515537781,24.8678118743197,24.7146516671329,25.9774434451644,25.6283843508238,25.7525185674539,25.8557061850335,27.1154618711941,26.8808444476251,26.9515282246282,26.2093489451402,26.0438146403496,26.7441820002952,26.5121846622712,25.9004504203563,26.7086370503984,26.0850678270678,26.510761995206,26.7799078749425,25.5633623626588,26.4109640633708,25.8872351207791,25.6453499316877,26.0787855446635,26.0524998935385,26.2975362392345,27.0958972565414,25.9156202036956,25.4679844606903,25.9141401995156,26.4517856199637,24.7546880394584,27.2494883437031,26.9759242163019,26.9891985389959,25.0247852701693,23.3172040543613,25.7460660827439,26.2126522265416,25.3808290924971,24.2642339732633,23.4882970386217,25.1843817261833,24.970783746964,24.7867618744815,25.4179146928174,24.379388415368,24.8300536295551,24.5365227989177,24.7121842899431,24.2924966089149,25.4519016760306,25.2911860192849,26.2057471707083,25.4016521864891,25.2680686308554,24.517916473899,25.5739070537972,25.8900432408173,25.7285362935702,24.8855977035549,24.7326522944039,25.1689690727685,25.2962814824624,25.1493199579487,25.5534475479555,26.1403817042182
"P08697",24.5593868938464,24.635779995573,24.7779604868915,25.1457126519389,24.0776750198664,24.4359286175829,24.0964878820114,24.1063313029477,24.7910268240627,24.9455199225661,24.5301940127887,22.9810761451475,24.7219995946698,24.21146592454,23.2166404841901,25.1550363765414,23.5992252583885,24.7588036922959,24.5091565533446,25.2039226740757,24.1314396979531,24.8912195767412,24.9894109586513,25.5100055719357,25.0590747410273,24.833403384562,24.4181460020893,24.4579121181048,24.8981880364969,24.170318444094,24.5258111108692,24.3121302753868,24.7498201320523,24.0824035989108,24.1731059991732,24.1149550365198,23.9388222977301,24.5573720792965,25.0013588826844,24.3035066645239,24.6256297027505,24.7633508772483,23.9404685479062,24.7623663235492,24.2469423501852,24.9979173354049,25.2453337849151,24.6965677218277,24.6697985642699,23.97768572364,24.5100565358109,24.4006118593829,24.461520539089,24.1530577869966,23.783704675736,24.5832607036374,24.1730037959185,23.477075894059,23.8131163197401,23.9330053189436,24.3753916088272,24.6860035286072,24.2040007626929,24.7177729458151,24.5764141085889,25.0449842014312,24.1565607020165,24.3446857362089,23.5310912064136,24.9312415815073,24.8218796442418,24.7734479200872,24.8188144370668,23.7448004829029,24.0618782548668,24.4335362873482,24.6371855862862,24.7083333078207,24.4763147002375,24.8357650629544,24.5485249123017,24.3995277564186,23.8099164657497,24.6877041573092,25.0369001778019,23.8533264999646,24.6961443474031,24.8228080886196,24.9962912466625,24.1374419526471,23.9662451795724,24.1563346404039,24.243636271417,23.8623847089951,24.3282840356457,24.4074595534378,24.5765433949925,24.3891686393032,23.8627452706965,23.0175978477974,23.997133126325,24.2586826213424,23.4709657622141,23.3403548725839,23.7616550079573,23.4937159710093,23.4196509877009,23.5882213282386,23.7201079151728,23.4679963971824,23.5443031016469,23.6276714709902,23.2634417179031,23.3102932518046,23.699869152107,24.4133027856646,24.3715049437971,24.2823994364193,24.2191227192547,23.6729805435011,23.7367609202939,24.3027726386635,24.491807722771,24.3794591481079,23.4256034218456,24.5230237144737,23.7417351386877,24.0865928728518,24.9280936241269,24.1634161229653
"P01023",30.6148206914498,30.5243140606983,31.2043453162698,31.9997748578153,30.7442635233251,29.9519873865347,30.9508520251237,31.229273570216,32.203452263585,31.1862486189026,30.7506311417788,30.9992631228182,30.9217754828934,30.3088093634492,29.4161658700589,31.1211138878136,29.4219871141669,32.0329725624906,30.5667819936331,31.8284115711773,31.7636804335895,31.4069324953909,31.3191600999186,31.3016335052837,30.9597938926563,30.5333215328182,31.1769242760266,29.8442523517651,31.8275563088565,31.4972146078014,31.6447658416443,30.6820734636117,31.9435524470705,30.2005378060789,30.8078035795924,31.5658615354483,30.9356496760899,31.9763883507064,30.404179027604,30.4824506443047,31.0570515574348,30.6465115816323,31.4302152957998,30.7733754738448,31.8134045612038,30.8331802177673,30.90849386543,31.2142516719135,30.2754527621147,31.3890529421491,31.7683934389466,31.6177537438847,30.9126008418143,30.3942384138456,30.4418012351393,31.1275852252216,30.3556642966593,30.6516715614385,31.5181162007209,31.6915672925306,31.4907499075591,30.9373453513012,30.5942542018988,31.4620452641351,30.7786549883256,31.0127154014473,30.4669879166153,30.3478284107915,31.2692683903534,31.0999479385675,30.8405133468827,31.2256018287607,31.6393736124938,31.5767222538582,31.0229309198421,31.4691369945343,31.5026456089205,31.7056942874297,31.2838369806033,31.5436805220517,31.8656218070416,32.0831873108664,31.1269709776473,31.4910186532106,30.4326249852784,31.3857868466075,31.2175535169681,31.2908720000092,31.0161790180126,32.0486980655715,31.2742188833825,30.9543739173106,31.0020724481822,31.4184476653015,31.8157401647285,31.8869641449293,31.762836387897,32.0922792057632,32.022433012824,30.6867870017984,30.8945100954531,30.8891523528535,29.2391783763385,28.9496700015341,29.4863013188186,29.5842815252094,30.0050428254162,30.1222779156564,30.6306800673393,30.0551712062832,30.2100361714696,30.2986409975592,31.1314335734641,29.845210260385,29.7672197445806,31.4772702394603,30.7862411082412,31.3970294464166,31.0423549046239,30.2244248091016,30.0376184995891,31.1048028427022,31.3534120457003,31.4320436849173,30.1948727038584,31.189657634171,30.123101216204,30.9408532958997,30.9810791074524,30.3942270351112
"P04114",30.6929100140036,30.6736046507046,30.6245829668117,30.1266181429687,30.5496465024713,29.8110403656743,30.2566963247173,29.3081984771176,30.3793635630593,30.6189222490885,30.2016529782232,30.2857761246304,30.8507080160163,29.7781453286426,29.1876489785111,31.4381546445243,29.8555369087765,30.4736626522036,31.614099617153,30.5111377012381,30.693825527514,30.3376114245694,30.3196671600868,31.054671381065,31.368332873997,30.9552809716017,30.1910864796296,30.9147746193885,30.4402065135333,30.7993307393941,30.8922344735413,29.9157352537363,29.8717059046235,30.2854253613677,29.1324743081471,29.3807683376224,28.9186731967214,30.8456069121613,30.7608262218907,30.3592999647965,31.0839264319571,30.3049413013017,30.3325345967226,30.2126746343082,30.6296791175156,31.3206145116311,30.9667999042844,31.0332536044358,29.8639346117566,29.903890393859,31.6959215174756,30.0905293715785,29.4817347743616,29.9366804356407,30.0253933982228,31.311935358301,31.1174614341667,29.2037952997465,29.1745939904114,30.0078817271378,31.0471552028639,30.8443990965738,30.0817519238208,31.8063034777796,30.0934077286784,31.2666707470533,30.0967574474652,30.0451462223012,29.578417157358,30.8882724287161,30.7014710353202,30.3273125068718,31.0482485483914,29.7907258295839,30.8388231590593,31.0460640343345,30.1183503807135,31.0331962908988,30.632133017972,30.606874161293,30.5427754262096,30.3381355745471,29.4549166143022,30.335322058394,31.0915617733755,29.5929991851028,31.070743013178,31.3578170831309,30.2399702210817,30.5685368402179,29.4724103570508,30.3642682702061,30.5618215403964,30.00169835783,30.4262574594196,30.6474086887296,30.5173282956603,30.7594528217134,31.4362429823368,29.6261448206891,30.2152312576833,30.7165339700877,29.0173416195147,27.7349984575693,28.4304844553408,29.3025104956439,29.0334483812272,28.3559911352977,29.0592299103512,28.7173548082594,29.2578178431425,29.6881293783727,29.0848701659438,28.1213969226848,29.4016388989827,30.1350973934342,29.5361200749515,30.0359156351684,28.5666368499576,28.8388168127886,28.7698956380986,30.2701082194964,30.0590465090425,30.2042148454819,28.6851338502451,30.9092588940658,29.8244593514959,29.9888855728972,30.1089873099688,30.2499292286918
"P02750",26.8281598297514,26.0617513824394,25.6262686089544,27.4066224443755,25.9412165404485,25.5522540883481,26.2948438139573,26.2290559795216,27.0495414868571,27.5531743586352,26.905040619432,25.7878388076718,26.3249114524444,26.8291836596549,26.2516921673648,27.5060179296941,26.9269326927645,26.6250642247848,26.7265357257751,27.2049831535117,26.9795630937833,26.6538144567122,26.5037028679789,27.0688097610358,26.6625209394906,26.5384719597427,26.6944434421612,25.7420333699879,25.556994660283,25.2870455425581,26.902664462003,26.853526678224,26.8545947778657,25.0148890079575,27.6116018820412,27.0845159762641,26.0946772703863,25.9585509454778,26.5160989181626,26.9721333325047,27.5711795350197,26.2896952854607,26.1139041211542,27.4616326925212,26.4470419734374,27.6181685970137,27.6689122443153,26.9702021949388,27.6118875244918,26.9570946002656,26.684889844074,26.6187334236541,27.2024767486249,26.5758009649105,27.9010033974758,26.7254773497379,28.1325369123347,27.7393199719335,25.8240349825845,26.2684424842344,26.5264544646534,26.6442005542497,26.89943861363,26.9137111934362,27.3200233340524,26.0478494769119,27.0174702490823,26.6017916404341,26.793339566298,27.1561307688066,27.3430955561212,27.4527655790386,27.133142526043,26.6719408495729,27.2748864158152,27.194726951436,27.0197949881964,26.2986053439356,27.4350817928822,27.5223306930383,27.4204240316186,26.8637402258566,26.4115908948482,27.9004584360313,28.0668686619144,26.9289587191746,26.1076634292155,26.7155394522869,27.0596613254158,27.5440659201269,26.3917956804986,26.5547984357352,26.8220060201654,27.4370992883203,26.7048266953802,27.5151694854083,28.1244561349063,27.341783066194,26.7794940406686,27.241358121111,24.7646254202578,25.1200861265806,25.3225212442894,25.623614621498,25.1951607094188,24.6938258448181,24.8868001770357,25.0556030065783,24.6581826029998,24.5441399919394,25.2257462601104,25.0471958192268,24.7846199699565,23.6250055682868,25.6996865021301,24.4582078340473,25.7156237603266,24.8980517339068,24.4538429415492,24.3069308501237,26.3324342103026,25.0860331798486,25.5966769349469,25.0357331019976,25.570655761069,24.1873067611078,25.5616911591052,25.0829884075499,25.2330474975902,26.0016834155497
"P02774",28.9130524664667,28.7971354737744,28.1731246085389,28.3917986953768,28.8298293649248,27.8630022057737,28.0613883338443,27.7492109603238,28.1571496845849,28.0127704660061,28.3978520377621,27.9932446386727,28.3076784655573,28.2291183402906,27.8136272822306,28.4018402977593,28.5857749472685,28.4128269474216,28.2556389177418,28.3944379656953,28.4159887656,28.4510320972524,28.57589650095,28.537327072815,28.4140007594064,28.1833485491919,28.5941271783625,27.5676929301984,28.2777295237479,27.7877254421866,28.5686652146556,28.4541652277113,27.7757625734145,27.8670289771859,28.2828401377947,27.640108102233,27.8574134593728,27.9687794501342,28.1561108585297,28.4062785882903,28.5474850616809,27.9129419491166,27.3631384465103,28.2986222630761,28.1709730269281,28.6094925906159,28.4635785024553,28.2870671082554,28.1952536942409,28.4850349974868,28.2924439497971,28.5568401109072,28.2976492999291,28.1947346150745,27.4976226074953,27.8527447497722,28.1700156525604,27.6246770032021,27.660686344883,27.4967180015865,27.9985339631888,27.7006350772048,28.2955357831793,28.4618628420261,28.0195730832939,28.0347400341171,28.2544581885068,28.28692304892,27.9780170220638,28.1966842139179,28.4640848985772,28.5210935845137,28.0101316113061,27.8168085762447,27.799845815026,28.189218600372,28.1554254070404,27.9232970149436,28.3229576971035,28.0826259548139,28.1370086291553,27.8633879480067,28.1452959569564,28.172446126765,28.3831409197413,27.6438220680133,28.3890199766061,28.50058796192,28.0422693932272,28.328317732653,27.5631096694757,28.081599160713,28.1380164411738,28.6333631185861,27.4562779524109,28.4099783254664,28.3777268514549,28.2707671106721,27.8297862107851,28.1742059799724,27.8015045104851,27.9023200904899,27.957633286389,27.9979988845274,27.9179647589743,27.7199277053451,27.8251846371287,27.9963700428898,28.2768484059051,27.9198509720934,27.9113861357781,27.8691061867994,27.7789770569211,27.877885086336,28.0936422587126,27.5532204212069,27.5249168420362,27.6427774415888,27.6485265501588,27.7101451332363,28.42918987592,27.7678503431485,27.793639324613,27.3558875279392,27.7832192792909,27.6337116592207,27.7210597511607,27.8865489342589,27.9335973747368,28.2721952098817
"P69905",26.6676727977984,28.2122205789622,28.6976084887372,29.0057790603049,27.7885561508378,31.0734375048422,26.9131084526042,28.4523522321191,30.7177402112878,28.2321300158561,27.9244362272755,27.9807347423245,25.9362614093192,26.3453937406228,27.8770049142033,26.4422140734142,26.0337074721795,27.4933857862185,25.8288138361494,30.349980104587,28.6230728080606,29.1008478954122,27.5878291240574,27.8583552757085,26.1440342545165,27.277912661719,27.7907106158834,28.1112401224334,28.2035058811245,27.2236798984652,28.7381612379169,29.4678326309288,29.6298937452393,28.3084940210421,26.4379277909403,28.0648744714346,27.6259855770989,27.4830098970965,27.4641719194607,27.4846969201718,27.4835073054141,26.2502407254691,26.624018086162,27.0226261977906,27.6523925941218,27.9659006007829,27.8918901996346,26.8976819817413,26.8409384688124,29.0434759141235,28.5698602428034,29.5726554827509,28.3442544536804,27.6099049818486,29.5490985163784,28.1204516305328,27.3556493775038,27.694611030116,28.3364222478067,27.859214472849,27.2254519402082,27.6480734734156,28.1831555792357,28.687948008261,29.5760234074198,27.006628781715,28.2318772692259,29.5361141447792,27.5118683270169,27.6542579756417,31.4480584412586,28.945663778794,27.5705145967004,30.4800845997891,27.4200379470597,28.1002805559271,29.1287511239824,28.7523974917813,28.0815083062373,27.5286281835006,28.1046373021561,30.1364903803362,28.4147131035312,27.5855819638734,27.2357298466116,28.3432953904011,27.2158505260644,27.9906724437336,29.7646957702639,27.7509655578826,28.3208828873609,28.299490605705,26.9074412935935,28.5721746909204,30.7094731155912,28.6773549032828,28.6648705163773,27.4384767737135,27.1100572688359,28.8118671692884,23.6834729157554,24.0518189733008,23.3399702583336,22.7892336293952,22.8293333047377,24.1804147110496,23.0085936091181,22.961046721931,22.7468318586626,24.1439514507479,24.3505932574195,24.4531897365992,23.0055083939937,23.1562519223207,24.054026772766,22.6276738085118,23.3626846917142,23.8262406494482,24.2335793054102,23.8506623332321,22.0585234248104,24.2587833878626,23.4050563926315,23.911630073623,24.1380942726339,25.0786909300544,25.7960080116532,23.7708541036241,24.7698501491031,25.279070389656
"P19827",27.6765175487981,27.6279935680377,27.5365069104369,27.8015712133359,27.324923534961,27.3415646994016,26.8958375287465,26.5066750108021,27.3459390286389,27.2751854606504,27.1441760371517,26.0065996783987,27.3860919311475,26.8085385614945,25.7008290343288,27.7121343198361,26.2816630785548,27.4530897391198,27.4107199560692,27.2298051575095,27.5902394701471,27.470258443853,27.8823740084319,28.1764997608488,28.0832866482461,26.9710271463243,27.7932361595416,26.8805129503735,28.1662522845502,26.7592884306491,27.6826590353842,27.0847441693835,26.6812082732316,27.1351337213335,26.5488823348705,26.5031234306159,27.4796008128191,28.0568670535929,26.782211895361,27.0227377664196,27.4798839778831,26.9626756742572,26.2904700236867,26.8226286904136,27.5020979259411,27.3144609921788,27.2439338762479,27.5604794297872,26.3537788258483,26.8721952171504,27.9379784493749,27.6712922666084,26.9860324499931,26.897631855769,25.793203905438,26.5000387684099,26.6486179383202,26.3946805262627,27.2300798221977,27.4471227117033,27.1363468990465,26.6244677353799,27.1684321843262,27.0185163613827,26.8933565295384,26.7749183321482,27.0003803754751,26.4587253788477,26.8239630926759,26.7128863129281,27.5784210661538,27.0215629002283,27.3443878887137,26.5128395440094,26.8282107818133,27.2930859790265,27.2936224923481,27.8260976677589,26.9536554511799,27.2699052644415,27.4997670731681,26.957164759538,26.396155159704,26.9243170632148,26.6767027251662,27.0051958592375,27.4513849473189,27.4549630375829,26.9613650812828,27.6387825686481,26.4601806431291,27.077714620528,27.2674513751553,27.0851651047646,27.2446832082721,27.465049564461,27.0141212958621,27.6697198599799,27.6689145159628,26.419017873246,27.3266086037024,27.6031819264262,26.6093154933211,26.130389571087,26.6721240238807,26.9202298092714,26.8383869321927,26.2631360726619,27.4103317830984,26.6470442224842,26.803283512658,26.8562637527112,26.9390228892519,26.2077095049966,27.1268270201986,27.8069266708399,27.5030182188456,27.5769990919489,27.0389096145726,26.6290391642464,26.4179137917071,27.337113488056,27.2657407931538,27.2286430098409,26.4286706965185,27.1057584395048,26.7975573400262,27.0274955203644,27.7250557170632,26.9242803605139
"P00747",26.2597592083303,26.1339275161399,26.5512899245011,26.3629414758833,26.1510224247104,26.057493043067,26.5482120948987,26.0841513113434,26.4453623501071,25.9788232071401,26.6845712153658,26.2621854790608,26.8023023743307,26.5494970356385,26.673194324342,26.6910410367405,26.8211770296576,26.3795814348513,26.461571246509,26.3653674342732,25.8322832524855,26.6353793644614,26.6906320208018,26.5757335781984,26.5089387819623,26.6614872691534,26.7348117274761,26.4849151863457,26.3629428131813,26.5116369712426,26.3270865962085,26.2706713120398,26.1437778898354,26.3357304036517,26.5100472368494,25.5806845740342,26.0525794929492,26.8174880459778,26.3506418131781,26.6003778934174,26.42791458846,26.4587490300261,25.3735190166296,26.7260278978324,26.5613268730436,26.8189450788401,26.6737410363622,26.5964487787586,26.7543627449988,25.8298226886961,26.346304874575,26.1005994640359,26.0323208834438,26.31488675531,24.1355312863804,26.3530032912099,26.129735957966,24.9660441999537,26.0164442919533,25.8621110116391,27.4952675479483,25.9112803373154,26.4704976478607,26.9390430724537,26.2963688734125,26.8365272575012,26.45265009512,26.6710815520631,26.3644744088733,26.2137697835523,26.9191463867388,26.702912877253,27.2560988134449,25.9579045904032,25.9879703621576,27.1748141620213,26.4074962485317,26.6645693520971,27.2934932590158,26.568758093732,26.6413087087896,26.1502556721846,26.4898706170023,26.3832203036122,27.0480963519914,26.4148240530203,27.0263574537186,26.8624010743194,26.3450429637342,26.4693986205515,26.0364003576265,26.3542294701847,26.5323712649914,27.0060049862185,26.477616852628,27.0487758720395,26.6341617329516,26.7726091685109,26.7315927010899,26.5813230032318,25.9872116118196,26.2616695653933,26.4560643367785,25.9927424239922,26.1251111977098,26.1470581589485,26.1466623599256,25.9848028772585,26.5154123072696,26.0671784612168,25.9880327929755,26.1347443490227,25.7828718677833,25.9570062762293,26.0335347465474,26.3397741756521,26.3265386603642,26.1216911226482,26.1485765038201,26.0409553745061,26.6427200516569,26.0993555162087,26.2817138690454,26.5060297978257,26.5581822206799,26.1162351178337,26.2468701750193,26.2003113516672,26.5170856796717,26.5339502626379
