"","C1","C2","C3","C4","C5","C6","M1","M4","S1","S2","S3","H1","H2","H3","H4","H5","M2","M3"
"P04114",-0.344948022328463,-0.992035462750533,-1.45428374720742,-0.847220386440632,-1.68423751608584,-0.785617350643608,-0.995583011271733,-1.15466258349602,-0.661185025468848,-0.719978162513379,-0.708238197345275,-1.05180359851795,-1.34593113727092,-0.956750155022112,-1.27667314458906,-1.03629399568837,-1.03461206232307,-1.0119133215435
"P01024",-0.478109673341589,-0.445320794807378,-0.888068911807275,-0.7122003142026,-0.487758748144991,-1.0935686044195,-0.453802387569931,-0.585388794032607,-0.683705391145905,-0.547111363982148,-0.580427788915435,-1.35805007117304,-1.40621599473934,-1.32182876650832,-1.37347073601066,-0.993649658279879,-0.410596785038144,-0.413456463459363
"P02768",1.78520311590914,1.8303144945214,1.89696577676409,1.90253257474383,1.89661069864476,1.80444310023462,1.96482584491837,2.01046212699693,1.81778166223492,1.93144069645613,1.8504003358899,2.13784095873475,2.26594691020946,2.16235596412296,2.19581462687368,2.11643026500033,1.83002707151517,1.86971558794551
"P01023",-0.920377516322578,-0.610140089191175,-1.24821940655797,-1.40444185996141,-1.32978936296458,-1.51758500111145,-1.24643310342616,-1.22747400687253,-0.734802433163972,-1.25272459584408,-0.781757820679176,-1.31957592335841,-1.74564783726601,-1.8020504345473,-1.30926903986502,-1.4133636447682,-1.05900871663054,-0.974131914229321
"P00450",-2.30866101181456,-2.08818408169936,-2.16942817305936,-2.75107347477371,-2.7990821473289,-2.33984038690502,-2.39153233694369,-2.52567017464395,-2.25643748198513,-2.41834551894612,-2.68185786412326,-2.97255684750822,-3.00462402652545,-2.85388936606691,-3.22837758754827,-3.04594416572209,-2.06124718882654,-1.92599941855622
"P0C0L5",-2.38173474733147,-1.6861292368047,-2.69229832462617,-2.29704081135786,-2.2919142143422,-2.08885728873744,-1.7611917175709,-1.92311164875331,-2.08152500666842,-2.04117732226647,-2.20550119138724,-2.59787708584551,-3.22296961479919,-2.738025522612,-2.86778787229181,-2.57162572868492,-1.85300525583313,-1.70103305355595
"P0C0L4",-2.37154316753718,-1.70476628221235,-2.69219374990335,-2.29162219586539,-2.30447918410969,-2.09631982233421,-1.79568708453484,-1.92661323206384,-2.09768514197371,-2.2158630852504,-2.22450863761456,-2.62108447700683,-3.28068511265548,-2.74267188746836,-2.85398207276678,-2.59977676899908,-1.85688869032035,-1.71265213682278
"P02787",-1.28080596919999,-1.0329159380513,-0.856929705682851,-1.04569973282502,-0.877347107972935,-0.598444219696054,-1.01942519900356,-0.76326892304169,-1.0521689221488,-0.928537403900962,-1.45548310312464,-0.950342113692689,-1.09881450630726,-0.915508484330581,-0.959664730652844,-0.596227701918007,-0.764630182468366,-1.03847414781464
"P08603",-2.30547080294814,-2.17091085442834,-2.8528499336062,-2.72586365865062,-2.1881883657413,-2.02722247350291,-2.17719500969574,-2.37277037359167,-2.62328661764592,-2.53084383971094,-2.54364544428476,-2.90453842407957,-2.86564761337664,-2.63077900739747,-3.03944792510487,-2.16182487777223,-1.95753583930443,-2.1341853473944
"Q14624",-2.95445733878705,-2.65334790965454,-3.18491949716263,-3.24539274732487,-3.12009699603323,-3.66049364772919,-2.79469717255928,-3.15464464357679,-2.83359154837619,-2.66259025387788,-2.96075872410219,-3.52310931744354,-4.41426826703407,-3.99642847971415,-3.62962813509705,-3.32259818084502,-2.66424361237796,-2.81329928580686
"P00747",-3.270015670522,-2.89458357468616,-3.23580973277519,-3.55055728249178,-2.90590308708093,-3.22223534012676,-2.80507676388886,-2.82621183387369,-2.69549115126739,-2.61989568214221,-3.12443858948178,-3.66061284119348,-3.9105018491609,-3.37494010296788,-3.60629563126642,-2.91638453195318,-3.0702359720538,-2.86422322096953
"P00738",-1.00601695397372,-1.09546968211174,-0.674179938702501,-0.726462721027492,-0.84046724700183,-0.743837774986315,-1.33153251605621,-1.51266628390889,-1.49569045222778,-1.27972528515052,-0.965948562788987,-1.65262005043994,-2.56149422021725,-1.67450038482679,-2.41172310475291,-1.87709540083912,-0.801577017026124,-0.892576417018772
"P01009",-0.712596657363437,-0.749457860525608,-0.375845115982644,-0.669993701915814,-0.411829348012001,-0.231975996305484,-0.855830239615776,-1.03339489713598,-0.35487752864921,-0.896400131047136,-0.610581306854019,-1.02834462569396,-1.04364591535463,-1.06459998235573,-0.959664730652844,-1.45454105144311,-0.831831232728715,-0.825862747270774
"P01031",-3.39170487033438,-3.60845105495772,-4.65064401327025,-3.83707662752911,-3.66982395838601,-4.08181708442511,-3.62111454424648,-3.85099008986664,-3.99210461698996,-3.62534587855883,-3.4847547919919,-4.17518601402323,-4.69899774396719,-4.38943967266299,-4.32030007698932,-4.53719223162105,-3.47330082966656,-3.94414676526648
"P02774",-2.94746534642844,-2.88494294586817,-3.26969188191218,-3.72911314049548,-3.27944219105102,-4.09658917365526,-2.908288702424,-3.07224651995287,-3.10195741958062,-2.88568441010858,-3.26141197042559,-3.59787708584551,-3.88044461530472,-3.79962777228044,-3.84940934297695,-2.72595387507622,-2.63727656477769,-2.5405683813627
"P02647",-1.38758887075521,-1.81843475719895,-1.80823922769341,-2.70995927031336,-2.18349813885358,-1.89299235302977,-2.18166134048193,-1.55550545107738,-2.01110543935916,-1.81130306538523,-2.24870612787119,-1.09447421476397,-1.76955102379249,-1.63941792567134,-1.50393391363674,-0.982024333160252,-1.87252781409794,-1.63690271613623
"P01011",-3.17820917691733,-2.76417005150804,-2.90663640484044,-2.65074635004075,-2.71619422863769,-2.42238394686904,-2.97954755764667,-3.58714327694534,-2.72128291837699,-2.90505618211067,-3.05238900886716,-3.84868518934605,-4.29053289861183,-3.74267188746837,-3.95351774631769,-4.40713169105668,-2.79225122475403,-2.98114097274869
"P02790",-2.3636941835366,-2.36049527563758,-2.66618434098555,-2.94537381125627,-2.72281510582317,-2.53002152840302,-2.67982531472539,-2.45950929429711,-2.42280892373596,-2.39259545796572,-2.82359013366114,-3.30697588657878,-3.95679550143483,-3.40408644862739,-3.47370999164861,-2.62848806564061,-2.46735156333538,-2.35310975013564
