"","F1_126","F1_127N","F1_127C","F1_128N","F1_128C","F1_129N","F1_130N","F1_130C","F1_131N","F1_131C","F1_132N","F1_132C","F1_133N","F1_133C","F2_126","F2_127N","F2_127C","F2_128C","F2_129N","F2_129C","F2_130N","F2_130C","F2_131N","F2_131C","F2_132N","F2_132C","F2_133C","F3_126","F3_127N","F3_127C","F3_128N","F3_128C","F3_129N","F3_129C","F3_130N","F3_130C","F3_131N","F3_131C","F3_132N","F3_132C","F3_133N","F3_133C","F4_126","F4_127N","F4_127C","F4_128N","F4_128C","F4_129N","F4_129C","F4_130N","F4_130C","F4_131N","F4_131C","F4_132N","F4_132C","F4_133C","F5_126","F5_127N","F5_127C","F5_128N","F5_128C","F5_129N","F5_129C","F5_130N","F5_130C","F5_131N","F5_132N","F5_132C","F5_133N","F5_133C","F6_126","F6_127N","F6_127C","F6_128N","F6_128C","F6_129N","F6_129C","F6_130N","F6_130C","F6_131N","F6_131C","F6_132N","F6_132C","F6_133N","F6_133C"
"P04114",0.618238655595455,0.530070742225084,0.316145742293356,-0.288064643021078,0.183962834842595,0.506906554580693,0.512985334813676,0.613531652917927,-0.415037499278844,-0.229382353343797,-0.413115187147815,-0.282789700980404,0.702214251010441,-0.226003674888827,0.586884812852185,0.217851096811131,-0.960159735468209,-0.360304766600418,0.910732661902913,0.796597754048306,-0.00723156923107586,0.155749232677945,0.252173413202027,0.232660756790275,-0.44418384493836,0.108357178090419,-0.00288827932482651,0.270229907237998,0.327687364176047,0.0922074380970889,0.0621217119077975,0.38404980679516,-0.096961729887088,0.728573602559365,-0.477944250839036,-0.305788392232109,-0.529072742524873,-0.0785636691937021,-0.320125852253377,-0.103146927103293,-0.168122758808327,-0.41888982477445,0.0867837661420666,-0.496142467422571,0.29983076182237,0.40381306161659,0.699551632523089,-0.0528949484321255,-0.343732465205711,-0.248107861595691,-0.171368418311981,0.0799753767205959,-0.239566125329888,-0.314732593483158,0.533064921869638,-0.531156057025363,-0.403541860441014,0.0962618530584035,-0.212567535483132,0.22650852980868,-0.0276749584428483,-0.0634091701760615,-0.112474729258412,0.0172092900322231,0.0496307677246004,-0.139235797371172,-0.392137097168765,-0.373327247394007,-0.187707155126729,-0.477944250839036,0.195347598322219,-0.0409717810563062,0.334568275666133,-0.338250400189295,0.0412429822318813,0.183962834842595,-0.139235797371172,0.0922074380970889,0.372952097911829,-0.687334826441606,-0.77595972578207,-0.0938790470029001,0.034215715337913,0.257010618206024,-0.382701517159154
"P01024",0.313826296390398,0.0935601761623378,0.221567788538409,0.0786098346963665,0.10969486482593,0.228972569760161,-0.186064929518683,-0.286304185156641,-0.354759487354735,0.0799753767205959,-0.0846703239869906,-0.00868224309980088,0.331131922217202,0.205392512989685,0.094911647025467,-0.0846703239869906,-0.457989644463391,-0.0634091701760615,-0.227692025041597,0.265436896049098,-0.659722595233746,-0.302226180444814,-0.210896782498619,-0.125006361067033,-0.145605322246899,-0.340075441597622,-0.174621396107069,0.0229004021100788,0.0200576523412535,-0.279283757478869,0.137503523749935,-0.0203404482841755,0.222804561045261,0.155749232677945,0,-0.148800661406706,-0.281035664240461,0.204140716780225,0.0356239097307212,-0.293358942690592,0.00288250853312136,0.14535138557262,0.0786098346963665,0.101650076094435,-0.0101343771337132,0.27500704749987,0.366252263699564,-0.131313234677865,0.147957881387101,-0.0335695326937018,0.0621217119077975,-0.120294233717712,-0.142417044615852,0.034215715337913,0.397255345594427,0.00288250853312136,-0.234465253637023,-0.145605322246899,0.0894981508391026,0.142740172116082,0.151858816727005,-0.2688167584278,-0.199255376063222,0.260627908126699,-0.0101343771337132,-0.169744675832317,-0.103146927103293,-0.349235440883098,-0.0755200076409777,0.0538064436957938,0.160920188181103,0.116364756691785,-0.00288827932482651,0.0100636833446975,0.212880566344385,0.169925001442312,-0.036525876025114,-0.147202107181229,0.154453592679872,-0.236163541109049,-0.22431729826094,0.0989584800881688,0.0313951962755343,-0.0306192350583921,0.14535138557262
"P02768",-0.145605322246899,0.0426443374084937,-0.0892673380970874,-0.100051013810328,-0.112474729258412,-0.00723156923107586,-0.375197234747053,-0.351074440546879,0.242450073677701,0.138814468902282,0.0496307677246004,0.063502942306158,-0.156820109742826,0.147957881387101,0.0662614422687213,0.0799753767205959,-0.0679388286565756,-0.125006361067033,-0.200912693925996,-0.174621396107069,-0.195946441032647,-0.100051013810328,0.119024103142275,0.0579700686373299,0.171206827418142,0.24731993497982,0.0271540515037266,-0.00723156923107586,0.159629185821228,0.0579700686373299,-0.347398782403481,-0.502259911390907,-0.312939311660108,-0.0785636691937021,0.070389327891398,0.14535138557262,0.303342394487331,0.10969486482593,-0.0785636691937021,0.0157829972409275,0.034215715337913,0.0854246562526777,0.0690146779151805,0.0772429989324604,0.0412429822318813,-0.267079617891743,-0.479954975960182,-0.0543922968186278,-0.0469210473874926,0.0468402542029724,-0.689659879387849,0.136191386287144,0.194087052116302,0.216610068742442,-0.32373259173411,-0.0276749584428483,0.0482361856528476,0.0690146779151805,0.0579700686373299,-0.330973234490369,-0.365871442474959,0.0328061450832415,0.209141397838592,-0.249822294406943,0.0908534304511135,0.263034405833794,0.209141397838592,0.227741075839128,0.0854246562526777,0.0745054363636298,0.108357178090419,0.0328061450832415,-0.140825544133565,-0.0923401721467106,-0.147202107181229,0.0384361816561079,-0.0439433475875971,0.180147861158429,-0.136061549576028,0.270229907237998,0.0745054363636298,0.10969486482593,0.154453592679872,-0.428565884123491,0.0827025893302493
"P01023",-0.430508908041284,-0.156820109742826,-0.32373259173411,-0.107803289534515,-0.422752464406849,0.2904244038653,0.372952097911829,1.03562390973072,0.0922074380970889,0.353887836284907,0.0593552776164212,-0.0603972796439563,-0.440263475567017,-0.415037499278844,-0.0543922968186278,-0.369594528517677,0.00144197417390632,0.138814468902282,0.773996325111173,-0.036525876025114,0.584962500721156,-0.222632890549587,-0.302226180444814,-0.341902794648628,0.632268215499513,-0.103146927103293,-0.222632890549587,-0.356605546520108,-0.139235797371172,0.304511041809953,-0.291592016516404,-0.457989644463391,-0.0528949484321255,-0.215914857265243,0.619178216059069,1.08610437124329,-0.0424567992428948,-0.37894449670026,0.0271540515037266,0.0157829972409275,0.562669826102702,-0.254977850962736,0.117695042669755,-0.189351252217354,0.0229004021100788,-0.325539348439741,-0.413115187147815,0.29983076182237,-0.0800879113226919,-0.504304837375931,0.293958979028694,-0.207561069935362,-0.31114825613412,-0.163267919540864,0.248534836138679,-0.096961729887088,0.0551956542421246,-0.261880711217424,0.166072675946706,-0.125006361067033,-0.305788392232109,0.463622456851893,-0.163267919540864,-0.0985055449524251,0.0786098346963665,-0.440263475567017,-0.205896101440252,0.117695042669755,-0.241270431542137,-0.256700472111743,-0.584241333477502,0.405992359675837,0.0482361856528476,-0.358453970912476,0.257010618206024,-0.227692025041597,-0.0543922968186278,-0.270555993166337,0.835924074254375,0.309176187478515,-0.0846703239869906,-0.295128035543647,-0.415037499278844,-0.502259911390907,-0.267079617891743
"P02751",0.754459973625479,0.543000877402426,-0.312939311660108,-0.623709616662948,-0.694321256757713,-0.0755200076409777,-0.397828209246621,-0.57132159005177,0.117695042669755,-0.0785636691937021,0.0285691521967709,-0.0101343771337132,0.783247097378117,0.214124805352847,-0.115597447016313,0.364012053558615,-0.210896782498619,-0.131313234677865,0.272620454662992,-0.481968507397831,-0.592919224549499,0.214124805352847,0.425459304765355,0.176322772640463,0.601221085584946,-0.362157939675895,0.53605290024021,0.586884812852185,0.27500704749987,-0.15521264992094,-0.821126041830205,-0.227692025041597,-0.552156355637914,0.149259365499623,-0.3040061868901,-0.320125852253377,-0.45205668870965,0.116364756691785,0.495695162624069,0.146655222119465,-0.249822294406943,-0.0291463456595165,-0.529072742524873,0.0908534304511135,0.84799690655495,-0.666576266274808,-0.234465253637023,-0.0740005814437769,0.43722773891291,0.371837617330421,-1.14880066140671,-0.13764780046798,0.293958979028694,0.144046369616707,-0.0174170530774094,-0.126580496565143,-0.0603972796439563,-0.123433941248279,-0.584241333477502,-0.597277823154395,-0.237863830098888,-0.128156351490682,0.36513259345253,-1.09541956507868,-0.0439433475875971,0.326537348139952,0.587845009254277,0.295135249000818,0.449957483628004,0.252173413202027,0.162210036314307,-0.0439433475875971,-0.899695094204314,-0.270555993166337,-0.395928676331139,0.191562650700756,0.22650852980868,0.172487515510134,-0.905088352974533,-0.194294815161489,-0.150400988848548,0.175045486110914,-0.182786075741673,-0.302226180444814,0.0398402645317911
"P0C0L5",-0.115597447016313,-0.272297327162762,1.20288783347014,0.138814468902282,0.507921464957328,0.408168370708106,0.260627908126699,-0.380821783940931,-0.231074664436249,-0.295128035543647,-0.529072742524873,-0.302226180444814,-0.0188780102056894,0.108357178090419,0.177598929327733,-0.101598140007807,-0.873027143742234,0.280956313831056,-0.340075441597622,0.336854639125465,-0.236163541109049,0.14535138557262,0.0356239097307212,-0.0115879742752118,-0.320125852253377,-0.360304766600418,0.0840642647884745,0.12565110166152,0.108357178090419,0.155749232677945,0.418999465431266,0.0551956542421246,-0.156820109742826,0.312665173558394,0.205392512989685,-0.164884384741782,-0.260151897300673,-0.438307278601691,0.237563718317676,-0.15360697914764,0.24000896473507,-0.365871442474959,0.398350370345965,-0.465938397578882,0.0157829972409275,-0.500217879852688,-0.136061549576028,0.321928094887362,-0.0938790470029001,-0.106249498279434,-0.204233052217608,-0.169744675832317,0.592636428606577,-0.646112163715093,0.417920007811965,-0.595096877854869,-0.147202107181229,-1.09850554495243,0.282143228781498,0.0524158941511385,-0.0954195650786824,-0.365871442474959,-0.38458370273713,0.171206827418142,0.0100636833446975,-0.500217879852688,-0.169744675832317,-0.662003536484984,0.254594043033141,-0.274040765490812,0.186500557644495,-1.56064282152574,0.0621217119077975,0.0648828515848544,0.258217389536018,0.0894981508391026,-0.639354797539784,-0.114035243246029,0.471967787661516,-0.63486740654747,-0.552156355637914,-0.15521264992094,-0.128156351490682,-0.140825544133565,-0.365871442474959
"P0C0L4",0.356143810225275,-0.194294815161489,0.900721927564115,-0.00433459026389113,0.604071323668861,0.469885976274464,-0.0800879113226919,-0.442222328605074,-0.314732593483158,0.0200576523412535,-0.646112163715093,0.0799753767205959,0.361768359419153,0.00432160595009347,0.209141397838592,-0.413115187147815,-0.438307278601691,1.10634831950515,-0.416962376203336,0.59741198755465,-0.643856189774725,-0.204233052217608,0.16349873228288,0.254594043033141,-0.533242384273829,-0.859875776090929,-0.0409717810563062,0.0356239097307212,0.0229004021100788,0.0257375614136083,0.368489000645104,-0.187707155126729,-0.236163541109049,0.504874589398464,0.220329954879556,-0.15200309344505,-0.488026018218199,-0.465938397578882,0.149259365499623,-0.533242384273829,0.31150311546827,0.094911647025467,0.0356239097307212,-0.100051013810328,-0.0203404482841755,-0.161653263478769,0.063502942306158,0.10969486482593,-0.251538766995964,0.0854246562526777,-0.171368418311981,-0.436353730515936,0.13224779829844,-0.229382353343797,0.341416524478722,-0.244685095954902,-0.199255376063222,-0.446148031818874,0.314986485468515,0.121678556588252,0.0962618530584035,-0.428565884123491,-0.45600928033515,0.235114320376357,-0.0892673380970874,-0.210896782498619,-0.194294815161489,-0.373327247394007,0.0989584800881688,-0.0985055449524251,0.253384235800074,-0.479954975960182,-0.045431429247006,0.244887059123534,0.271425676092934,-0.0649174766813385,-0.579921884020626,-0.231074664436249,0.682573297347578,-0.163267919540864,-0.341902794648628,0.141432790929296,-0.0439433475875971,-0.219269963523624,0.100304905795685
"P02787",-0.0816137655536521,-0.150400988848548,-0.254977850962736,-0.205896101440252,-0.395928676331139,0.13224779829844,-0.771027430239839,-0.403541860441014,-0.036525876025114,0.197865391353738,-0.136061549576028,0.178873958169795,-0.0985055449524251,0.0772429989324604,-0.200912693925996,-0.284545872884282,0.276198865032242,0.0440443327060212,-0.15200309344505,-0.13764780046798,-0.334607228958109,-0.0679388286565756,-0.0513991525066443,0.130930869826449,-0.0892673380970874,0.398350370345965,0.215367972203479,-0.00288827932482651,0.0551956542421246,-0.0724827538015237,-0.508403405589552,-0.567040592723894,-0.31114825613412,-0.263611599296539,0.144046369616707,0.205392512989685,0.01292617444427,0.100304905795685,-0.0115879742752118,0.0285691521967709,0.0962618530584035,-0.0603972796439563,-0.0634091701760615,0.217851096811131,-0.15360697914764,-0.338250400189295,-0.500217879852688,0.18269229751619,-0.0619024389259069,0.01292617444427,-0.734563103950902,0.173767067736706,0.185232254230161,-0.00433459026389113,0.537047519404657,-0.320125852253377,0.0717626693000913,0.0607391578576785,-0.026205070347394,-0.678071905112638,-0.194294815161489,0.126972856257766,0.0908534304511135,-0.148800661406706,0.298658315564515,0.359521170427595,0.0989584800881688,0.133563525741106,0.171206827418142,0.0143552929770701,-0.172993990361023,0.219091058246197,-0.0276749584428483,-0.036525876025114,0.0200576523412535,0.0214797274104514,0.209141397838592,0.236339539168374,-0.351074440546879,0.446785562143122,0.388465097283154,0.0398402645317911,0.351628329102782,-0.529072742524873,-0.0558912008920452
"P00450",0.111031312388744,0.0257375614136083,0.285698125958125,0.0229004021100788,0.137503523749935,-0.0276749584428483,0.364012053558615,0.142740172116082,-0.727379545337008,-0.117161344232749,-0.0394882898809755,0.149259365499623,0.12961273813047,0.0593552776164212,-0.520769438793664,-0.241270431542137,-0.181149439104566,0.14535138557262,-0.0218043703183484,0.20163386116965,-0.360304766600418,0.260627908126699,-0.0862010350493039,-0.254977850962736,-0.305788392232109,-0.275786313242642,-0.284545872884282,-0.237863830098888,0.0214797274104514,-0.0954195650786824,0.120351940365222,0.0214797274104514,0.612588406698718,-0.0694518807521452,-0.0247366783215064,0.200378797984026,-0.284545872884282,-0.15360697914764,-0.367731784500487,-0.129733929604017,-0.0649174766813385,-0.0174170530774094,0.0676387168753633,-0.0877333719335504,-0.171368418311981,0.228972569760161,0.319617934200161,-0.179514657013621,-0.318325858207167,-0.261880711217424,0.418999465431266,-0.430508908041284,-0.258425152581204,-0.115597447016313,0.587845009254277,0.136191386287144,0.0313951962755343,-0.0409717810563062,-0.0603972796439563,0.360645202460216,0.269033146455237,0.207892851641333,-0.407363571393423,0.291603558030565,-0.0619024389259069,-0.608232280044003,-0.293358942690592,-0.272297327162762,-0.237863830098888,-0.0649174766813385,-0.0892673380970874,-0.0247366783215064,0.147957881387101,0.0454429707611671,0.063502942306158,-0.176250639691727,-0.172993990361023,-0.22431729826094,0.374065718222538,-0.275786313242642,-0.0603972796439563,-0.270555993166337,-0.24297675349254,-0.0335695326937018,0.00144197417390632
"P08603",0.13224779829844,0.260627908126699,0.0454429707611671,0.0799753767205959,-0.0724827538015237,0.102993993323326,0.209141397838592,-0.0499049058263139,-0.284545872884282,0.112366523072563,-0.134477040860036,0.15704371014558,0.13224779829844,0.144046369616707,0.0551956542421246,0.0538064436957938,-0.274040765490812,-0.0174170530774094,0.0840642647884745,0.141432790929296,-0.403541860441014,-0.239566125329888,-0.0159575739029762,0.0468402542029724,-0.369594528517677,-0.177881725270655,-0.0862010350493039,0.11503324294624,0.0299828662157143,-0.220950447162541,0.0257375614136083,-0.0923401721467106,0.22404027421793,-0.0603972796439563,-0.121863233373052,-0.330973234490369,-0.291592016516404,0.160920188181103,0.00719550140420377,-0.103146927103293,-0.156820109742826,0.116364756691785,0.191562650700756,-0.0785636691937021,0,-0.00144341686966872,0.197865391353738,-0.0174170530774094,0.22650852980868,0.10969486482593,0.138814468902282,0.200378797984026,0.0384361816561079,-0.0985055449524251,0.12565110166152,0.0482361856528476,-0.603840510926846,-0.109358756036556,0.0524158941511385,0.252173413202027,0.094911647025467,-0.249822294406943,-0.114035243246029,0.034215715337913,0.0468402542029724,0.0114956388378294,-0.0816137655536521,-0.236163541109049,0.0114956388378294,0.0786098346963665,0.230203013366421,0.0565835283663675,-0.0800879113226919,-0.0291463456595165,-0.00288827932482651,0.151858816727005,0.0200576523412535,-0.0831412353002459,0.0356239097307212,-0.164884384741782,-0.101598140007807,0.252173413202027,0.0840642647884745,-0.0954195650786824,0.149259365499623
