"","F1T1","F2T1","F3T1","F4T1","F5T1","S1T1","S2T1","S3T1","S4T1","S5T1","S6T1","S7T1","M1T1","M2T1","M3T1","M4T1","M5T1","M6T1","M7T1","M8T1","M9T1","M10T1","H1","H2","H3","H4","H5","H6","H7","H8"
"IGKV3-7",NA,NA,0.309000000251648,0.424499999754025,0.282099999485392,0.603200000250706,1.73299999983743,1.15250000021608,0.252099999839434,0.242400000437069,-0.289999999219971,-0.112799999295016,-0.948100001204627,-1.32999999955555,-0.935099998928032,-1.30000000063273,-1.38830000079695,NA,NA,NA,NA,NA,-2.0907000007789,-0.989899999019789,-2.03800000080465,-2.57040000019426,-2.17079999798244,-1.40470000015879,-2.03420000265092,-1.78650000195274
"IGLV4-69",0.309800000149589,-0.286999999361946,-0.396000000381114,-0.195799999219159,-0.211800000245371,-0.329800000315103,-0.89559999988221,-0.556499999454039,-0.458000000989964,0.0975000001344667,-0.577900000397412,-0.0505999997357268,0.367399999781713,1.86639999994825,-0.0268999996612782,0.0286000000815227,0.0632999995148721,0.369599999980181,-0.50589999926084,-0.9280999998065,0.141199999909328,-0.308199999910611,0.466499999631661,0.0318000003621496,0.258000000270095,-0.262500000737855,-0.0791999999336465,-0.263099999166394,-0.0341999996963092,0.036200000056339
"IGLV8-61",-0.0445000006039998,-0.377400000360141,0.217000000598125,0.408699999908222,-0.48789999935302,0.165500000099429,0.0863000004740425,-0.30429999938757,0.0618999993524984,-0.0642000003529808,-0.34819999977751,0.451100000447906,1.15009999970291,0.566799999911297,-0.0631000007440063,-0.456800000856019,-0.0957000007680752,1.59389999979824,0.76080000022111,0.14970000055903,0.178300000591428,-0.261899999175741,0.893900000042255,1.08640000033624,0.162200000588429,-0.222299999722207,0.802500000362464,0.686599999902045,0.743400000256611,-0.305199999655932
"IGLV4-60",0.0598999998269323,-1.11240000115037,0.122699999581591,-0.385299999691624,0.301300000139094,-0.313600000396147,-0.541299999585844,0.15570000019341,-0.388199999504844,-0.392499999543823,-0.184899999447857,1.10729999999924,1.98270000015697,0.905099999798815,-0.316900000287819,-1.06629999929366,0.486099999569151,1.40470000003029,0.378499999523936,0.585699999670504,0.9532999996299,-0.685500000482547,1.60580000015674,1.43690000001034,0.910099999653731,0.246899999780206,-0.830500000884996,-0.796899999419244,0.745200000164327,-0.885199999616194
"IGLV10-54",0.0635999999741661,0.0216999994663573,-0.646399999927529,-0.188599999493513,-0.265499999274213,-0.40860000089176,-0.782500000873672,-1.27530000088833,-0.866899999700978,0.260099999524814,0.462900000500012,-0.217800000103556,0.278999999704301,0.318200000144717,-0.769100000009991,0.113899999960889,1.01750000014373,0.206099999549068,-0.10210000033734,-0.435899999122214,0.016199999984641,0.0811000001782519,1.24680000011385,0.935500000132678,0.401800000047601,0.365000000549097,1.1437000002836,-0.362600000571836,-0.70250000004666,0.56610000001283
"IGLV7-46",-0.24170000080936,-0.269399999736033,-0.211300000304031,0.306000000092247,-0.168300000728645,-0.241600000511579,-0.402800000255141,-0.35970000042019,-0.157100000428892,0.392599999550957,-0.311000000882294,-0.265100000155995,0.209599999627538,-0.307399999534093,-0.724200000568813,-0.137600000281597,-0.135099999931622,0.377400000306861,-0.0118999995436742,-0.440899999122312,0.365600000206602,0.161200000007974,0.338300000184739,0.221600000119368,1.40019999990125,0.0309000000999477,0.593600000200656,-0.165699999961087,0.374800000027088,0.161700000529952
"IGLV5-37",NA,NA,0.2653000003596,0.411599999745006,NA,NA,NA,1.70380000013759,-0.258300000763515,-0.00280000007576068,-0.224299999507292,-0.338199999761506,NA,NA,NA,NA,NA,0.684500000017519,0.961500000184329,0.247200000348176,0.0201000006525419,0.553600000324881,-1.01410000142057,0.209200000518356,1.77760000004637,-0.766399999702601,-0.91679999959539,-0.149599999906488,-1.98460000279309,-1.15840000019484
"IGLV2-33",-0.0219999998469958,-0.226600000699268,0.106699999390039,0.4706000002629,0.341900000220648,0.14550000029112,-0.346799999184208,-0.320200000758991,0.148300000426925,0.210800000129749,0.124100000408161,-0.547500000332212,-0.431900000143054,-0.432700000776569,-0.152600000539146,-0.440599999451465,0.802700000156662,-0.0188000000787321,-0.134100000371973,-0.574399999045209,-0.53440000066261,0.461799999481142,-0.301899999245427,-0.420299999796608,0.402300000190787,0.632400000137691,-0.709300000467599,-0.276600000845888,0.0317000004548829,1.47550000023509
"IGLV2-18",-0.12729999960354,-0.275499999874873,0.0330000003744693,0.37600000006761,-0.627400000518234,-0.226399999683388,-0.152900000741813,-0.319099999804487,0.013399999784977,0.334599999735088,0.0528000005661258,0.408300000025517,1.0633999999264,0.757400000229401,0.0335000005441656,0.333499999897137,0.504299999722809,0.924499999922535,0.245600000398924,-0.102399999711035,0.0142999995587323,-0.167500000739042,0.381700000327594,0.323900000296816,-0.381900000169917,0.172699999752395,0.474399999698062,0.474000000243978,0.194300000382813,0.617800000223936
"IGLV3-16",-0.430499999135263,0.269000000006242,-0.5466000009416,0.494999999854617,0.26850000027355,0.642099999919433,0.911999999978858,0.283099999615537,-0.509499999586064,-0.0545999999301572,0.650899999769501,0.502600000497068,-0.764300000596338,-0.0989999998691444,-2.02939999963361,-1.95009999892967,-1.47869999899508,-1.70570000158152,-2.2311000032604,-0.793599999397013,-0.9751999989269,-1.16599999983324,-1.10210000033734,-0.988499998733762,-1.14909999889803,-0.761899999833752,-0.45449999979552,-1.26019999945579,-1.23159999927739,-1.29980000044978
