"","NOT TREATED","NOT TREATED.1","CONTROL","CONTROL.1","NOT TREATED.2","NOT TREATED.3","CONTROL.2","NOT TREATED.4","CONTROL.3","CONTROL.4","NOT TREATED.5","CONTROL.5","NOT TREATED.6","CONTROL.6","NOT TREATED.7","CONTROL.7","NOT TREATED.8","CONTROL.8","NOT TREATED.9","CONTROL.9","NOT TREATED.10","CONTROL.10","CONTROL.11","CONTROL.12","CONTROL.13","CONTROL.14","CONTROL.15","CONTROL.16","CONTROL.17","CONTROL.18","CONTROL.19","NOT TREATED.11","NOT TREATED.12","CONTROL.20","NOT TREATED.13","NOT TREATED.14","CONTROL.21","NOT TREATED.15","NOT TREATED.16","NOT TREATED.17","CONTROL.22","CONTROL.23","CONTROL.24","NOT TREATED.18","NOT TREATED.19","NOT TREATED.20","NOT TREATED.21","NOT TREATED.22","NOT TREATED.23","NOT TREATED.24","NOT TREATED.25","NOT TREATED.26","NOT TREATED.27","NOT TREATED.28","NOT TREATED.29","NOT TREATED.30","NOT TREATED.31","NOT TREATED.32","NOT TREATED.33","NOT TREATED.34","NOT TREATED.35"
"P04196",4.00033088022863,4.15405657008046,4.02348691022661,4.14478303310464,4.0812526949568,4.07110706185941,4.07357947846181,4.03735059131439,4.11187180472634,4.01751219567806,4.07383051374227,3.99277658668517,4.09028606204837,3.74972518419423,4.06706730750777,3.94569477910934,4.13172281716521,4.10867499101557,4.07368401040486,4.03699030398243,4.01839204310384,4.08175631932265,4.03924018631624,4.13701243203414,3.98434417162369,3.93703547920184,3.99603164427235,4.06227284840681,4.00560748375083,4.03434338960835,4.03366086141583,4.02114033434873,3.87651792882512,4.03936478448903,4.07465100010072,3.89851408244118,4.04677740551861,4.07906572806445,3.92459685504545,3.89103804724859,4.04946348903685,4.1210875339101,4.08134985445993,4.07874815464954,3.99081330601473,4.05131902209712,3.89021416948231,3.8834693058022,4.08276985222648,4.02695494160151,4.0783152202244,4.03985605269366,4.03478267887309,4.00756330586319,4.01307897906978,3.99001181000986,4.14676599390875,3.85291072377444,4.10771130036606,4.10046471041125,4.09142480740276
"P22352",3.83180530727203,3.88383192694247,3.70394453571514,3.91754441678513,3.99320244269351,3.54772496626106,3.83530463312527,3.80033357949976,3.78234355830836,3.80409074135008,3.79666315972427,3.72249006918807,3.86337354851404,3.8113641602723,3.80064834443344,3.82165205713167,3.84089220191265,3.75878925318831,3.38390884694531,3.78580789135363,3.992330662282,3.81695905564506,3.78727468724023,3.83496397874682,3.6963399738598,3.81801713110968,3.69862855435279,3.75180967797311,3.7578446658603,3.81260501161928,3.75199708122785,3.72658820487937,3.63108099412237,3.7867427148337,3.75415207461035,3.62585142542202,3.8235598413088,3.77344466299478,3.72768633788243,3.56401592492806,3.62948601964969,3.70341082797872,3.8796959653316,3.74313684924904,3.83365519889222,3.81993483265299,3.7575353550288,3.93358774493629,3.80396266466395,3.72580440251926,3.81414226862676,3.82061094021593,3.78620950048669,3.98189100290137,3.80206704024514,3.74773111329463,3.77546990538157,3.7284985055854,3.86788164170719,3.66686450598168,3.81426944482888
"P35542",4.050704548571,4.11928395747113,4.08567278933794,4.20498579834743,4.19846979420344,4.16761564353658,4.13950469427278,4.18433901678479,4.05755424645809,4.07347922349957,4.11703919869665,4.16312835007844,4.09612773286768,4.11242240807233,4.12401706171134,4.17680226138006,4.22651315382384,4.19282619242742,4.12173988308409,4.22261447623324,4.02953327867789,4.18642369849101,4.15481648918308,4.163609023391,4.07438897479843,4.09575483008781,4.13185120010372,4.03376920680429,4.10303093336588,4.12755569564102,4.16922352084042,4.13245345982509,4.05712963765855,4.16789337911334,4.13733137373022,4.08928034032755,4.06963171410391,4.18938417324089,4.18722457588851,4.16739887631537,4.091866517131,4.20195686324623,4.11794682749297,4.10827436796276,4.13187259614946,4.13699521209583,4.12189650243878,4.10541995183436,4.07239825538355,4.09129700791008,4.1586254403893,4.10978762085097,4.07783431432769,4.08199826918218,4.07369343504389,4.15434340960591,4.11311370163959,4.23922922842686,4.22317770350174,4.17570742136209,4.06122579515833
"P05155",4.26049317603622,4.30006586914082,4.25670952228969,4.2970123527631,4.390084327076,4.31122408219278,4.29660350496752,4.30719680101642,4.22039032390252,4.22367430451124,4.28207500762506,4.23932242183326,4.258924390159,4.3225490414533,4.29905632133362,4.30497750593135,4.32171672458062,4.32693276955969,4.37375816653494,4.30487313034542,4.33971392004565,4.28976808197662,4.27973202695363,4.23460401619276,4.18990993227963,4.2106717333741,4.27729000418674,4.24553597374829,4.21844873626858,4.31491400097879,4.32349905550892,4.32591811616794,4.33544109378825,4.29722443820057,4.22967251325348,4.24608424263685,4.29358531263589,4.28770499293193,4.30644526312368,4.32848967608392,4.22735062677368,4.34218065439801,4.34969293259552,4.30415470469974,4.28759123424602,4.31402577029889,4.31103512276675,4.34424405874388,4.24949085125259,4.26295024616839,4.29094998348836,4.24296446799027,4.31641296376386,4.31954134679356,4.2322056221553,4.37768738702704,4.2611223197695,4.35575913419327,4.33930488178426,4.24653350048943,4.28981528812211
"P27797",3.52458991767873,3.45873305398537,NA,3.53402448841454,NA,3.57491735095948,3.50699069241678,3.01848801019163,3.03075169831772,2.98575542961839,3.25420172296928,3.514543831721,3.46894948309746,NA,NA,3.0011450453396,3.51241426032724,3.35383872963205,3.37779509177021,3.16226918044156,3.48745637864275,NA,3.43192470412484,3.38036083272321,3.27747540092118,3.16399763171721,NA,NA,3.36287479649217,3.46630135130367,NA,3.51016923169158,NA,3.52389900551497,3.47001643792344,3.64881894053401,3.53999923863107,2.71862115089343,3.42507709571902,3.32714538957881,3.53887967691074,3.45506190443204,NA,3.61306022480188,3.5235689813375,3.28410957705569,NA,3.28383822984743,NA,NA,3.27563287446579,3.1962567136962,3.60726461414104,3.34620833704215,3.45894626685526,3.41490282642809,3.45574791624214,NA,NA,4.00084724434089,NA
"O43852",3.64867044302031,3.68007045618718,3.57570381435028,NA,3.5570518534247,NA,3.49559731695628,3.69248656519755,3.51011035137646,3.60615330485095,3.77272845336925,3.65090261934511,3.78008790269721,NA,3.67939598441371,3.69275681089379,2.82443305203329,3.78760255208046,2.84838618131898,3.7885703530335,NA,3.5883860384201,2.85255922128167,2.80887986888495,3.60812439127483,3.66909243386009,3.66321434962321,3.11037761009916,3.68972486051578,NA,3.73140527784843,3.59546797460331,NA,3.5794192497045,3.64641084388542,NA,3.5883765631582,3.6896398871028,3.72708704389232,3.64842080392557,NA,3.62870349974623,3.6276306494047,2.82784340798942,3.70778682430735,3.72305183643711,3.61339680649145,3.66354683300706,3.66264906588085,3.4677197874453,2.88026489826617,3.76627457432664,3.75161646650435,3.6484593454995,3.7474934225629,3.50868877057674,3.74345378631504,3.59372031477643,NA,3.66322687607118,3.75514780498423
"P07942",3.77829164463939,3.89592784759706,NA,3.85044540544586,3.86247321260497,3.81620544571915,3.95732588866537,3.737253022519,3.64823993239842,3.86691193343601,NA,3.91930480129911,3.85026836402405,NA,3.77254868560614,NA,3.69125162808683,3.76990288738289,3.93411543512241,3.78499910460211,3.76414017455046,3.93821709048444,3.88977042290545,3.75848654084612,NA,3.9300323733491,3.82477396193082,NA,3.88171649276847,3.76669056089221,NA,3.710961781899,NA,4.03369081136133,3.74929075881178,3.8074538463259,3.75098910055571,3.91740024681549,NA,NA,3.84690846355962,3.82690841704567,NA,3.95770662760179,3.94145003717401,3.9424206684638,3.8734825018428,3.71706330161656,3.83466166907715,3.85192590123975,3.94278565960672,3.76210108034088,3.71227991560722,3.6587895876547,3.95674065489763,3.78385996587577,3.86934534827091,3.82655458854338,3.78771453982257,3.80996075381555,3.89486043735364
"Q04721",3.82496942947534,3.787038511523,3.77696092604693,NA,3.77685462601837,3.59638657553006,NA,3.89279511822972,3.91080652139399,3.790387337392,3.89438513240391,3.78715973928698,3.87409560828558,NA,3.86603656057695,3.77505159531408,3.81359446233516,3.86959014204085,3.85239342617987,3.81932483844122,3.72730513642144,3.81253724431591,3.82514247759434,3.5566905852158,NA,NA,3.75519951801478,3.85392879876202,3.85198385059028,3.62523892276833,3.87037655703261,3.79766152585376,3.53453353957002,NA,3.87041305522292,3.77313023725064,NA,3.77269858159348,3.85488633114738,3.78363580144465,3.79437011529546,3.78080351296154,3.77016937750664,3.82171021503467,3.81333279604385,3.77867643004341,3.75503817577714,3.73209115842818,3.84460358754627,3.62989745646973,3.80906247426921,3.86179461475177,3.84912056873774,3.85286579215032,3.82236611464963,NA,3.8613857145894,3.7715243314584,NA,3.84261685591857,3.80057897779837
"P08246",3.54192947416043,3.5114959972305,NA,NA,NA,NA,3.54472054070489,NA,3.84509286623879,3.55410255080174,3.81166841141257,3.53599021626632,3.55476724370277,NA,3.96766857522652,NA,3.57510680462408,3.9561026654702,NA,NA,NA,3.4982052878583,3.53452084038045,3.58344519017109,NA,3.55514102193655,3.50792006994563,NA,3.56297161766835,NA,3.73661991909258,3.81222177642522,NA,3.58001954467721,NA,3.7128421510338,NA,3.56132357003098,3.84259734686192,3.9646061953021,3.5599484108239,3.49855507813209,NA,3.81075669911668,3.89268973486974,3.57793318460704,3.57726409458162,3.81021326205819,3.54415138123124,3.49765311048062,3.5937940425289,3.87608134652516,3.52434606722972,3.49823822793183,3.54261564521169,NA,3.8736789604609,3.50737400950022,3.81535111743077,3.85461688993597,3.48598048395342
"P29508",NA,NA,NA,3.78490375716959,NA,NA,NA,NA,NA,NA,NA,3.84847892661475,NA,3.56965926695549,NA,NA,NA,NA,NA,3.86218405386367,NA,NA,3.78000241729377,3.83710381329857,NA,3.87363585209333,NA,NA,NA,3.9103561115673,3.91360837341908,NA,3.80893545583447,3.82420777106494,NA,3.83508943382562,3.8775073144512,NA,3.91119829715256,NA,3.58514763470556,3.83639368193654,NA,NA,NA,NA,NA,3.71026996818741,NA,NA,NA,3.85902115143198,NA,NA,NA,NA,NA,NA,NA,NA,NA
