"","CUcovID_0007","CUcovID_0008","CUcovID_0041","CUcovID_0023","CUcovID_0026","CUcovID_0077","CUcovID_0079","CUcovID_0044","CUcovID_0093","CUcovID_0021","CUcovID_0030","CUcovID_0048","CUcovID_0046","CUcovID_0082","CUcovID_0066","CUcovID_0109","CUcovID_0091","CUcovID_0005","CUcovID_0062","CUcovID_0063","CUcovID_0095","CUcovID_0043","CUcovID_0024","CUcovID_0080","CUcovID_0078","CUcovID_0013","CUcovID_0017","CUcovID_0014","CUcovID_0054","CUcovID_0050","CUcovID_0106","CUcovID_0087","CUcovID_0105","CUcovID_0104","CUcovID_0069","CUcovID_0075","CUcovID_0101","CUcovID_0073","CUcovID_0028","CUcovID_0019","CUcovID_0002","CUcovID_0010","CUcovID_0074","CUcovID_0108","CUcovID_0097","CUcovID_0055","CUcovID_0065","CUcovID_0022","CUcovID_0042","CUcovID_0025","CUcovID_0094","CUcovID_0061","CUcovID_0006","CUcovID_0060","CUcovID_0096","CUcovID_0016","CUcovID_0036","CUcovID_0085","CUcovID_0031","CUcovID_0071","CUcovID_0070","CUcovID_0049","CUcovID_0088","CUcovID_0003","CUcovID_0027","CUcovID_0029","CUcovID_0018","CUcovID_0012","CUcovID_0045","CUcovID_0083","CUcovID_0072","CUcovID_0092","CUcovID_0076","CUcovID_0100","CUcovID_0004","CUcovID_0011","CUcovID_0009","CUcovID_0039","CUcovID_0037","CUcovID_0056","CUcovID_0059","CUcovID_0089","CUcovID_0098","CUcovID_0064","CUcovID_0084","CUcovID_0035","CUcovID_0033","CUcovID_0068","CUcovID_0051","CUcovID_0052","CUcovID_0107","CUcovID_0086","CUcovID_0001","CUcovID_0020","CUcovID_0047","CUcovID_0057","CUcovID_0038","CUcovID_0040","CUcovID_0081","CUcovID_0090","CUcovID_0067","CUcovID_0102"
"IGKV1D-8",16.5271433871088,14.9778497093532,15.8064005844464,16.2915462291872,15.3490621490663,16.4134542244367,14.8846228555486,17.9169369348088,17.0784050703493,16.5567645331278,15.3013027917572,17.4747771317262,15.8685131713621,NA,17.32746764791,NA,15.8229960017508,15.7432753491566,16.0916414469841,16.7270077350295,17.5858618403616,16.897411461946,NA,14.9039077851737,NA,16.6683285900497,17.4928875413978,19.2226225820119,16.4354489870421,16.7559402772273,17.2412631815895,15.9014471054872,16.7543841625044,15.1548829376082,16.7410704949436,NA,NA,18.2382066914582,16.5804520415446,17.3701104809988,16.2648042382,16.1747323471611,17.2206642606965,NA,16.1733957692687,17.3482122636722,16.3328327190353,16.406451130093,17.0708229335809,17.125937717666,15.9356499791109,15.4054024739365,NA,16.3264627002664,17.1197626691654,17.956498411297,17.3829357036883,17.4571779472839,17.1628196418327,16.4102946401898,17.0637799651631,17.0087711945054,16.4845269333298,16.7809318190034,15.6725949846922,17.2869149190496,16.6457323917401,17.5091749059521,16.2377097808367,15.9062414694872,16.5308536622657,16.1073204273068,19.2175595387365,15.418362273545,16.4471175708827,16.7017550466128,16.5486422329646,17.1099450039968,17.8008897872947,17.265637892684,15.370775212052,16.7954565478204,18.3938685171346,16.3920451153317,14.8575280740865,16.7593431078796,16.1822214966481,17.2494585236054,16.6489436031227,18.1381247518893,NA,18.262900173363,18.271311047033,16.5329099251916,17.1860231699969,15.9246366493919,17.7294824938463,16.784243439345,15.85722573762,17.7249033472176,15.5964314255228,NA
"IGKV3-7",16.2626359405303,16.7906300368264,16.332196613893,15.3674108004147,16.8800251060932,15.5145470611183,15.3756668292971,14.7526635634768,9.28826047803653,9.81902511060287,15.1534614871238,15.152138014914,15.0649909751273,16.1200096509682,16.6793961723172,17.5774153502845,14.9377265495259,10.1967602328957,14.4470989557075,9.60159698155113,10.2932854943933,16.3500935666419,9.19082815051697,16.0762248275579,16.6344646790994,16.1633448966915,16.222646484443,9.32388734611836,16.5202598667469,16.2318718927,9.42366387184055,15.8863800604641,16.1115003732545,15.3860945716566,17.1938992727442,9.56063917767769,16.5770779657785,15.5529063275021,16.2783934049052,10.114094379611,16.5377140116247,16.2924292703981,15.5601908707315,17.2822238264716,15.9091253772459,15.1293090267118,14.9744323193172,15.7092400243685,16.1776464774819,18.2963369488688,16.0527085206193,15.3781875316564,15.9204336045728,15.3031296082803,15.9283225582795,10.0613264502908,16.5941867922703,16.3565795378456,17.2396251875216,9.714523241847,15.2931912259117,10.2642499060815,10.56071884571,14.9898091634117,15.8690013963644,16.8902084237454,10.0458162222353,9.78987894053398,15.5054083021068,17.179553185248,9.88851123951151,14.4413808201143,15.6033084909329,17.1558497336507,17.356391293691,16.0015255155741,15.6464743745026,15.3268093501561,16.8691055368918,15.9186224562336,15.5464418197601,9.71211715694543,9.82871434088492,15.4656497575125,17.6788296093563,15.5872046240695,17.2395721645701,15.5760505663091,9.90133839470872,9.46154032311598,15.9549603787624,16.3573035436884,10.0846949349877,9.02811845469058,16.2138793102243,15.8974581699046,9.76091943392126,16.2302749184471,16.4072424449722,15.4122019162889,9.78109993638212,17.7870871019698
"IGLV2-14",18.1333327297954,18.9867478986686,19.1016762105479,18.4153023319937,16.6760640249965,19.3529056819776,17.2180913355754,16.8270442338172,18.7478039917538,18.0938555539363,18.4156038780764,19.2592212303012,15.6852309730683,18.7828360112341,18.5250389446085,17.9240465521496,17.9945486621196,17.4424668008524,18.8898150916807,18.5882425524573,19.0696128558814,18.090954715313,17.3106799886136,17.6654271101951,17.9027613029783,18.8509399016643,18.4794122319447,18.9517747148193,17.761888905764,20.138401662561,19.1840977676723,18.7687855736186,18.3824256968273,18.6553567380997,18.800928984322,18.528306277432,19.6682823547148,17.8338892043748,17.6408929950225,19.5203816648768,18.8440184386908,17.4958819464034,17.8902636649209,18.3849238365542,19.4586634294322,18.5615602654313,17.9427410845072,18.335017092853,18.3231379363115,18.1168382553917,17.0182734700704,18.4876121301147,19.3191986690232,19.1447527997352,18.7525307210849,16.380763742134,19.3089051358189,18.7865185996633,19.4542021850285,18.4020549814447,17.1548357491616,18.5192829935299,19.5637153982442,18.505371660364,19.3119809928443,17.7689024064163,18.51337493067,19.2160764924855,17.3825822242533,18.4476516631469,18.8048206619001,19.5374861612537,17.9067667740839,18.7407202577171,19.2570540572222,19.7583181665005,18.1021869325756,19.2429171004066,17.6913687469728,19.0396120110155,18.444131799375,16.9102073426649,19.4491951737072,18.7663230170783,18.6391751765253,18.6517324717377,18.7333595717084,18.5157972035423,19.0820932093694,18.7434243102324,17.3491665682443,19.6109967236265,17.9281040560823,17.5224846765157,18.1158604317268,19.2561077218556,20.1478342145212,20.1483761207322,19.0355484359267,18.9850912289728,18.8143843189465,20.391153822613
"APOA1",26.0338538088289,25.5713271725643,26.0824942325768,26.004652081179,26.0393032255834,25.1502186840406,26.66762293626,25.8735135267913,25.4305407350293,24.9278167429928,25.8002817213873,25.9693253380047,25.5640929254237,25.8603389118287,25.1161411914804,25.8654814734512,25.7372044955943,26.3841623366762,26.3660383911422,26.6155995555238,26.2980599344306,25.5936434814929,25.5443856536083,25.3961724199468,26.3568712553555,25.775770104736,25.9736404186502,26.2399673015048,25.5958054590035,24.2635909392935,26.2981536058104,25.3222352950791,26.197759400006,26.4202847390801,26.8245206354514,26.409558205637,26.5713850079602,26.1025848218459,25.8390591153315,25.2644807561042,25.2939571194319,26.4797866492398,25.4849373166278,26.8323990611083,25.5616552630978,26.0231434513401,26.4390243770361,25.9568915132992,25.5328637203984,25.7267083023737,25.6564436745061,25.809077532916,26.3207269903665,26.7182689662258,26.3526736973471,25.8700018292122,24.6780176246912,25.5679715032138,26.3311081399245,26.5205947011784,26.1038910934313,26.7418586970921,27.2724736220698,25.7429701901792,26.4668159852785,25.7459398734921,26.0401833963235,26.1446024700887,25.0804663822794,25.6759392916913,25.8807600065945,25.4673634167544,25.9246608338115,26.4202696675573,27.0609833343191,25.4412283549336,25.7602943571889,26.1966562679708,25.9257047390182,24.7609588642131,25.3813892904406,26.2318185635057,25.8140691993519,26.4870898945186,25.7328008268159,25.3420282649972,24.9487402458681,25.4952654573411,26.1658010566687,26.5637674126913,27.0479267607419,25.5643540667944,25.4990318775095,24.9867596151163,25.5120862278496,25.2885133957746,26.2673583899352,25.1407103418046,26.5977949879244,25.7469499632926,26.7718233599113,25.0829575169478
"APOA2",18.1317387860702,17.2537788561831,16.1949506779013,17.5791360964649,16.4594352449132,16.9381751782516,17.9318566261852,17.4593636958858,17.9642203402082,15.915450934185,18.4719475276833,17.8607574619322,17.6334294978228,18.0130775057473,17.4259949583788,17.2235450285533,18.0349678573836,18.4920661675827,16.8070843872403,18.8565574971112,18.3416073886312,19.4594681688062,17.1509960996055,17.620179513,17.0566135077504,18.0759793906617,17.5229650339232,17.5097919708729,17.6262029177465,16.3774172535866,17.8257770833612,17.2944876669851,18.3991520855827,17.7754651889381,17.6098775950595,17.8728536058502,17.7034461757779,18.0392494352134,18.5509054427316,16.9375987890126,18.1187443393108,18.4558938936608,18.5408982258333,17.3860532461117,16.7716387688413,17.7672601245833,17.8298715528462,17.2799771284729,16.977768174563,17.4036014323801,18.3635733422814,18.6823206430347,18.5105081643506,18.8416020110868,17.826878305427,17.902066275724,17.0323820012318,17.5422584055714,17.6002593384771,17.9020490309934,17.3480695290626,18.3001617938005,18.8631065215264,18.0186024121096,16.7440583820887,17.5075749501007,17.5260145901098,18.4682240624908,17.8839985462348,18.3851752291817,18.079743285891,17.6529024364621,16.7788574395679,18.2968353051758,17.9197046056537,17.0203259380826,18.2100637082727,17.5010635525321,17.3318493195632,17.3047892079111,17.2527119302335,18.0120110273261,17.902066275724,17.8716250364655,17.0178292041961,17.4379593005864,18.4166602948801,17.3479018611266,18.0416073451346,18.5536409624841,17.5279926125916,18.2152741729424,16.4557762137547,16.0631952069254,17.801852853241,17.08527519552,17.673891379943,15.9482759450964,17.9478808152455,18.2922551064251,18.6069235802197,18.9244899467445
"IGHV3-64",20.2556247896891,20.3466347744933,20.8222613595266,19.0561925700001,20.9844912400298,21.5123288577254,17.9087236266617,20.5723241856093,19.0498604110147,19.5365616599324,19.691301966159,20.3023289674738,20.9812877931832,18.9211279232346,19.4368247423645,18.281836084627,18.6894108977349,18.8784709832142,20.1531207127166,18.2851008490615,19.5357992868367,21.5267334701751,21.2832312387982,18.411421320743,18.9888640994918,19.8812662584573,20.1162320937868,18.7849904626334,19.3064063329317,21.0783248408764,17.5694843931334,19.235422294801,17.4574197608818,21.5849621708947,20.6792181912566,20.3478708787053,20.1327833876261,18.9411361913445,20.66710428487,19.4732248954115,19.6757885155552,18.7825414937463,20.8846534986155,19.345917027832,19.3527669676589,19.9797679373755,17.683849591096,19.1393630479451,18.5434907716332,19.4191962967277,18.0850948757421,20.5636186675978,19.6428288330404,19.7249575663911,19.0872879449823,20.4366118820573,21.0012158480209,20.9562656213723,19.6566577982989,18.3551422672178,20.1143098264347,20.5459691378968,18.9390267086383,20.1680459062444,18.5636660908841,20.5900481923801,19.1589804243503,18.6731376221998,21.7897085774338,18.3128150334533,18.9434034954541,21.0535153379693,18.9791009356644,19.1341586587426,19.2928896830656,20.4265522252236,19.8140206026187,20.9818107281947,20.0931373860462,20.0264146984165,17.4900717928213,20.7323415431582,19.7758606365832,17.9369128032774,18.2134695261351,19.8205478738277,20.0841913262818,19.1673970562566,19.2432956705026,18.7693062760997,19.871219120222,20.6604129808866,19.2571125945773,20.6828979478046,19.0525966895693,21.884396314253,19.3364421473861,21.1319823433065,19.4179464606405,18.9477268186234,20.4328062501896,21.7859289584313
"SERPINC1",23.7021024958518,23.6321156926921,24.0377370649433,24.0195243239591,23.8922849628012,23.1044122520205,23.7859064762038,23.4108789521558,23.7146573752463,23.341717433034,23.7690145731746,23.5191657269508,22.5141059663812,23.1912426399991,23.2225821241015,23.833944360062,23.171472543726,24.2969208837143,23.9355613855942,23.6871064794589,24.1727326663793,23.7347886903727,23.1590019197225,23.2233835040914,25.5440378301882,23.4560685582118,23.762824703855,23.3227462901971,23.9979784837445,23.0174899244252,23.700948957377,22.9463701323569,24.0281523037817,23.8594077893335,24.6266760427945,24.0905357461029,23.9189868423376,23.5022962715628,23.8249627730576,24.0603834070175,23.1710452521474,24.1950661227875,23.1751349428257,24.0414690460823,23.1990198636584,23.8479262892335,24.2844645622573,23.5276604982662,23.283173221951,23.400898074169,23.2964434549402,23.619765427675,23.6048235580531,24.1903454280597,24.3769927264225,23.8002286965294,22.6164575267106,22.6858511180598,23.9141984623414,24.3086332931938,24.0915497055281,24.1417372181245,22.9426884351151,23.7637247169988,24.207242168051,23.8323936930113,24.3195140286295,23.634677775151,22.9113457691154,23.0673018608586,23.5955443169392,23.9888867718821,23.6938022528787,23.8524010627677,24.0610454947117,23.2248038637266,23.3522846388867,23.619100085849,23.0563619792781,22.9906372828048,23.3019873307923,22.8045767465704,24.2914158164195,23.3164391745061,23.3605379819903,23.500871792986,23.2686859122235,23.2225664382352,23.681733739327,24.3434165265572,24.2692514178329,23.0146837798182,23.6711257738002,23.5860877206196,23.2584386378536,23.0571137913874,24.2004033044688,22.7749653491152,24.2821529843408,24.0004589677162,24.047865702461,22.5986672393137
"LRG1",22.9372134920114,21.6556481589442,22.3869392620314,22.4838169484405,22.4414546909023,22.2568148280358,22.7110457539152,21.8741248238393,20.7934564087388,22.8455108824387,23.4041224930999,21.4973724640998,21.8816408335158,22.1621139314188,22.5037345092438,22.3763411123362,22.7219029541374,22.744525444422,21.9926213675203,21.6682187528259,22.7518134695793,21.8466890094124,21.9396208592128,22.5129072485446,24.3110680573787,21.7648751123337,21.7908098118957,22.7272614875818,21.8692891585801,22.8158587338602,21.3358543573112,21.2243948665181,23.2904796437279,23.2911148637696,21.6071074975283,21.5108640954108,21.9342237091322,22.7893964118528,21.6017703383349,22.6687034180921,22.2237279853452,23.7975650805353,21.6103924346841,22.3159866663687,23.1145461583626,22.9412036288012,22.6625354995971,21.8396222111985,21.6756109170239,23.3152062871026,21.6734721534391,22.3685859265311,22.3305147143398,22.4126386784327,22.9870949992031,21.9345239779481,22.812918465378,21.5599363497365,22.2679293521488,22.925807064239,23.1664337307152,22.3232877103451,22.0555712917932,22.2074822397378,22.8838474187727,22.4536056413523,23.2985779776795,21.5819054561142,21.7405093909996,21.9275851464398,20.7790759782752,21.8623317171855,22.7106019051772,22.9205217920616,22.4436226758203,21.7622312432093,21.8965764190356,22.8336501510508,21.8570052516399,22.4131778457565,22.7381237029318,22.0407657707875,22.3674953127403,22.2391530725355,23.6463567776835,21.7404483302865,22.1063087254902,22.1973912878042,22.4777177901742,22.2067156195126,21.9738887585882,22.1648801165568,22.6815697976631,21.8796985950573,22.2073835238448,22.3880071685349,22.4705054347892,21.7643384258148,22.6899023462741,22.9648279556172,22.2067069665628,20.405892994976
"PARN",18.2847687266567,17.588807961245,17.902066275724,17.2654113486928,17.9639442189967,18.3089171569956,19.4299180948241,18.2968536780568,16.8700656185036,17.1413021426028,17.506562032674,19.3868188739933,17.9900300058175,18.7870650250359,18.4883786342222,17.8269889035232,17.318976331365,17.9332415630148,18.5594487414368,18.4982547999702,19.3316797961458,17.4788457515251,18.1031340865155,15.0682952998853,19.5791142951426,17.4125296141956,15.2219332788112,17.7593811250669,17.7677980642645,18.1409437441969,18.3797466913425,17.902066275724,17.8645587650076,18.6624031783896,18.3024449325951,17.929412940445,19.9022903440085,17.9087193875567,16.9953925367448,18.4253058806531,17.2809296612225,18.2066521332253,18.936034460144,18.560325125247,17.6954536185017,17.3007543001356,18.2354043868977,17.9842803826782,17.4843007999846,16.6369394923427,17.8852616318685,18.0456713943163,18.5739647197058,18.3510043096264,17.3892151841919,18.1251741651099,18.0290461021406,17.9940663176276,17.3942343238405,17.661337769624,17.2538434034343,18.7950802140408,15.7410947327576,17.6030510431626,18.5358793959575,17.9818803835642,16.9591485200369,15.0061466929927,17.4583098390344,17.2203824959853,14.8638013249476,18.3457322764471,17.9223500385797,18.3612583139716,17.6762888223019,18.2167670198483,17.8882833184605,18.1023616237714,17.9607397610343,18.6927939163652,17.5110234085565,17.7671921472267,18.5112086092752,19.6428270900345,17.6064431794138,17.0327664481349,17.7336759790859,17.2676080373725,17.8390276635111,18.9136690442065,18.2302582180173,18.3658215446695,18.9793351085041,17.1890463193326,18.4765651700923,17.4195176085935,17.9917497235873,17.6384270227765,18.3772853964294,17.8653628332863,19.3099027739684,19.5483068006971
"IGLV3-10",15.8930787772787,15.9522719577254,17.7807223629618,16.1757135797875,17.728598417204,18.2273580741167,16.4331007051148,18.7322368585759,15.2754987055221,16.1433936358228,17.7199139432477,15.7402595415592,18.2570042502726,19.9059551477731,17.8281274571179,15.9294591883856,16.6397464474911,16.2729506443738,17.8205874504844,16.3440523269929,16.1566455909447,18.8119129087901,18.973501949569,18.2735442863671,16.9748454580119,18.1836418015805,16.2675783241064,15.9160965749059,16.2099613239644,18.4286914332774,18.3245255143689,15.2489249716062,17.7323792230263,16.6234758909348,16.1452609195733,15.889154281885,16.7613302973293,15.8607550318557,16.1840364582766,16.3822830430398,17.9310792927569,15.8463105152473,15.9820132227459,18.6949035071741,17.2976676153208,15.5218713416821,15.9708241115848,15.9556744056889,19.2440966940297,15.9637131047354,15.898979766381,15.4077847247421,16.5193850615144,17.1655615167624,17.2823840231174,16.0068708671969,18.0792286521447,18.7093575074881,18.4438322276059,16.4798693250869,15.4216929605195,16.459709074976,16.9870423216638,15.5596544567555,16.4394724325478,18.623282398627,16.3760372121113,17.2967797244415,19.018556885802,15.3725040798691,16.1724333168212,18.069834849652,16.3183053492186,17.397936045217,16.214044543453,18.3056159338666,17.5533337326804,16.103874866902,18.2292705840594,18.3081818688979,15.2135949756612,19.5824620151522,16.023989625488,17.902066275724,16.6171884366515,18.1050748385249,15.8451069379236,18.730885817382,16.2219224747149,16.2469604650281,18.6257320536515,18.0730089017983,15.7852218150577,17.2454740256215,15.9895621159861,18.9464537408357,16.3323753815306,19.4361042343035,16.2252290397181,16.2651980506235,18.7757352021908,15.5103531321734
