"","nico_hA1","nico_hB1","nico_hC1","nico_hD1","nico_hE1","nico_hF1","nico_hG1","nico_180a","nico_176a","nico_183a","nico_84a","nico_182a","nico_6a","nico_177a","nico_20a","nico_155a","nico_8a","nico_13a","nico_32a","nico_15a","nico_33a","nico_41a","nico_174a","nico_3a","nico_10a","nico_4a","nico_179a","nico_80a","nico_140a","nico_178a","nico_16a","nico_19a","nico_2a","nico_28a","nico_5a","nico_27a","nico_21a","nico_181a","nico_83a","nico_9a","nico_14a","nico_184a","nico_1a","nico_169a","nico_170a","nico_17a"
"P02741",11.9073270142725,11.7868273171147,11.6834624184057,11.7114878309948,11.5293102942896,12.0679187416866,12.5881923680265,15.5704875011442,13.2048578047277,14.0187945505205,14.6520658703256,13.699274909068,14.0266431978794,11.4677680150128,13.3199167450766,14.4081276073242,16.1803984561413,16.9221010795161,16.4890662678011,15.9700801277597,15.4436957395237,17.7971805089297,16.007606850435,15.3098868091109,14.2990672545277,14.0183307946669,17.5753940219687,15.8418289579278,14.5453425898128,11.25897988663,13.4643246436385,13.9018950833783,13.5331277529097,16.2803177929517,14.6955461963512,17.1975331992236,16.1959637899281,15.4402365930613,15.7848836455802,14.9632332120604,15.1794229469153,14.3544183864417,13.4579168584158,16.2973271471105,16.3306692995247,13.4978125083073
"Q6UB98",8.24332825960769,6.48277271900029,6.81975927901576,6.76364643468579,7.02586235861285,6.62209862747133,4.8841189078144,10.8040000433289,9.37559423326912,7.63867198092744,6.42829337932808,NA,7.27484660958104,3.07981649685037,10.0190136943662,3.18073597888436,9.23323223100352,12.3738595447683,10.4345436203001,11.3245487330066,7.78855220010782,12.383169488051,12.6042909213629,7.46718778529314,8.67290727966725,8.62006036505771,14.1792115840956,12.0008420484732,8.73942059804335,1.92896928738999,8.18800202392975,11.0860872940664,6.25771077292257,9.54390897950674,8.59954676971458,12.0930622429859,9.01233098147475,7.95630645888693,6.79178826926894,8.8386638563974,10.2735130286362,9.68531166455888,3.7600555748627,11.5048167838626,10.2435589909083,10.9518256585244
"Q08380",17.8034032648917,17.7599788177009,17.6594542159748,17.8452230316501,17.9362425534379,17.5221566582358,18.0615605326931,16.1609785731313,15.8319033473951,15.6830566997335,17.0546940772127,16.7517676290076,16.8502106701903,17.0182405989789,14.0125848021139,17.4490588133255,15.3875930631954,15.2668110944335,16.1657735943569,16.3228380977155,16.2691890697131,15.6784535121469,16.8908216275677,15.4786927046093,14.9654847533317,15.8036522273855,16.1113135031873,16.4590213169996,15.3770738253901,17.0342832549301,15.5420155397531,13.9370967276065,15.7207673646866,16.1445193381125,15.9103983735106,17.0937963265732,16.0344637355013,17.0257453294897,16.2283773868574,15.7227097901571,16.3126847640564,16.8471135027056,15.6487951578001,16.8403238761507,15.5523149730061,15.8649482918513
"P18065",8.13449571205966,7.86785872195828,8.90768525166201,6.54049156933312,8.2545847062447,6.83760090238857,NA,9.80254320650521,8.92597001519381,5.76099141868188,9.77487573289745,10.661048852614,9.2994100807248,6.90801430020573,7.74793022728186,6.13530813850464,10.4586356414544,11.678126181211,9.50963319663601,10.2257521573339,9.32333779615005,12.1426598706765,10.0266837917504,10.0192469192938,9.68699451983102,8.41411316508956,10.0587786923498,10.4078584106997,10.0219173121918,5.67169914024099,7.29881728958266,8.44889182214487,8.91905219760822,10.1025387029987,9.97419773846581,12.4585941332766,9.00842838909436,8.37913307836874,5.84096460395036,9.34544948733956,10.117538828488,7.70289612326468,8.52645675676927,6.71475731690766,11.3206739688982,7.80068938869957
"Q15080",14.8636443076247,15.0800249409766,14.579681274037,14.5550696918765,14.3487414836365,14.4506397760005,14.4015123390614,13.9545589877912,13.5571144502065,13.4984818733492,14.4012059073169,14.2217008538137,14.3225990879485,14.2432892907949,12.3854469465542,14.314114120263,12.6676934861605,12.5664096597789,13.1910660422949,13.3420883596374,13.6470201095628,13.0588746387141,13.8522293592121,12.3710006698617,12.4987949755076,12.7687658709886,13.0872150497735,14.1610964901762,13.7935756038208,14.5523571475225,14.2656333373559,12.6920500067475,13.1727909258499,13.6179868249993,13.4677692204292,13.837510190848,13.7329426515719,13.6585478225183,12.9229432562516,12.8673551782615,13.2327001013592,13.9636233031544,12.8267930684265,13.4478916658788,13.1588928203058,13.1733774068665
"O75400",20.0574938422949,20.2880345549889,20.0010625648,20.3803888437706,20.0843001300349,20.0080799249391,20.0501691599268,19.4989304836589,19.0535603322258,19.1375056338155,20.1416887432076,20.5852748319313,19.3202550058147,20.5745083997688,16.9629782497541,20.4515687809804,18.6819085020361,18.4389241177032,19.882803584961,18.5973245428504,19.2578282329319,19.0891781196229,19.2334205058063,18.2771450964568,18.5198336406101,18.2785492732738,19.3870096414634,19.836395583475,18.9256807309967,20.707773805909,18.9404666735947,16.2772580929791,18.3662983064825,18.8025941810733,18.7893528681821,19.7820621098984,19.6458648710587,20.40493318343,18.7136819586142,18.8591934075585,18.8095452310627,19.6751077581483,18.3293207552339,19.537539755418,19.3067180877325,18.6600759052249
"Q8TF30",6.79420418701641,8.11776102232661,7.24741970937041,7.39769118164594,7.92676911197472,8.03139090629007,8.7790814336979,11.268752662106,10.4213344816695,10.8498018917531,8.89947443805895,7.87058789584014,9.21165446738578,8.77970484689784,8.53576852519112,9.12089478336098,10.8164321947418,11.7550338857329,11.5526904246977,11.0776035155069,10.3043268081807,11.9880015644641,10.2191725596955,10.6648687780227,10.5779766126981,8.94096194943861,11.1610812378247,7.38229719125183,10.353623991894,8.26809968063066,9.75404049314904,10.0588758417019,10.1917122310811,10.9663889421839,10.0066830539953,11.7022663876999,11.0910215738973,8.54326553169665,11.3399493273621,10.9899667078817,10.9748749172561,8.96389706487601,9.25128252920051,8.61809333150278,12.1953550555739,9.81003183364024
"Q02577",5.35673035872452,5.21093599828894,6.16835440207725,6.04075169449301,3.91871864184087,4.57698473963874,2.83341273843195,NA,NA,NA,2.33394031893304,NA,NA,3.63471545328883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0567252670108593,NA,NA,NA,NA,5.89728174582047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q15293",15.6263967461056,15.6449428752322,16.0643971161813,15.7711424406067,16.1463581672466,15.6192015311221,15.6660168215715,15.172399845124,14.4535288642073,15.2432413399358,15.8334896449123,16.2186132713381,14.6070837959084,16.0035622446103,13.5307616616423,15.9708386324839,14.2936566628035,14.1924534402317,15.0417459125105,14.2957913706433,15.0813060957152,14.3872047257782,15.4250575066682,14.4796533665374,13.7052633791832,14.3450714452345,14.8345394176365,15.5304919545795,15.3233811733547,16.3625720825409,14.4478443843642,12.7355485891749,14.7980276388933,15.0642466306136,13.9149267829876,15.498062398242,14.847071773128,16.0565368177941,15.7932363546519,14.0491246719844,14.9776453685251,15.5426262536612,14.5247780419865,15.310541546481,14.8620556048917,14.5851088689599
"P18428",12.4344016590031,12.1821819262174,12.037416605891,12.4595514122614,11.6996937294596,12.0032047170966,11.7172414655597,14.4636199200296,13.1915907415638,14.1005570781529,14.5324702183694,11.9459768218744,13.7019602098375,13.6292967549409,13.1441236465273,13.7642734164302,14.9277744292727,15.0297372758829,14.735793387443,15.2567681676168,14.0092082792241,17.0122707806938,15.7162834683713,14.5087174219427,13.555862725738,14.5654581998694,16.0938506140536,14.8593036063114,14.2336320960732,14.1505117830333,11.9111526934607,12.8761343253113,13.7673993708022,15.3017799511298,13.9334400702817,15.8657780860846,14.8072679467528,14.0619634719796,14.3100383110741,14.2012874852036,15.1124610229316,14.0303427806808,13.4074376749378,13.8807055117893,15.183142345642,11.7119655942362
