ligand	receptor	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition	dip_url	ligand_original	receptor_original	ligand_category	receptor_category
EPOR	TRPC3	1	1	0	1	1	0	NA	P19235	Q13507	ligand	receptor
FYN	TRPV4	1	1	0	1	1	0	NA	P06241	Q9HBA0	ligand	receptor
FYN	TRPV6	1	1	0	1	1	0	NA	P06241	Q9H1D0	ligand	receptor
KL	TRPV6	1	1	0	1	1	0	NA	Q9UEF7	Q9H1D0	ligand	receptor
RGS2	TRPV6	1	0	1	1	0	1	NA	P41220	Q9H1D0	ligand	receptor
S100A10	TRPV6	1	1	0	1	1	0	NA	P60903	Q9H1D0	ligand	receptor
JAG2	NOTCH1	1	1	1	1	1	0	NA	Q9Y219	P46531	ligand	receptor
DLL1	NOTCH1	1	1	0	1	1	0	NA	O00548	P46531	ligand	receptor
IGF1	IGF1R	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10920;http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=187156	P05019	P08069	ligand	receptor
NOTCH1	PAX8	1	1	0	1	1	0	NA	P46531	Q06710	ligand	receptor
WNT1	NOTCH1	1	1	0	1	1	0	NA	P04628	P46531	ligand	receptor
WNT1	PAX8	1	1	0	1	1	0	NA	P04628	Q06710	ligand	receptor
JAG1	NOTCH1	1	1	1	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=88348	P78504	P46531	ligand	receptor
TLN1	ITGB1	1	1	0	1	1	0	NA	Q9Y490	P05556	ligand	receptor
TP53	ADGRB1	1	1	0	1	1	0	NA	P04637	O14514	ligand	receptor
WNT5A	FZD2	1	1	1	1	1	0	NA	P41221	Q14332	ligand	receptor
TP53	EGFR	1	1	0	1	1	0	NA	P04637	P00533	ligand	receptor
TP53	EPHA2	1	1	0	1	1	0	NA	P04637	P29317	ligand	receptor
TP53	BDKRB2	1	1	0	1	1	0	NA	P04637	P30411	ligand	receptor
IL22	IL10RB	1	1	0	1	1	0	NA	Q9GZX6	Q08334	ligand	receptor
EPO	EPOR	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=9856	P01588	P19235	ligand	receptor
EPOR	EPO	1	0	1	0	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=9856	P19235	P01588	ligand	receptor
TP53	DDR1	1	1	0	1	1	0	NA	P04637	Q08345	ligand	receptor
TP53	CX3CL1	1	1	0	1	1	0	NA	P04637	P78423	ligand	receptor
CCL3L1	CCR5	1	1	0	1	1	0	NA	P16619	P51681	ligand	receptor
TNFSF10	TNFRSF10C	1	1	1	1	1	0	NA	P50591	O14798	ligand	receptor
IL10	IL10RA	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=4997	P22301	Q13651	ligand	receptor
IFNG	IFNGR1	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=728	P01579	P15260	ligand	receptor
IGF2	IGF2R	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=58938	P01344	P11717	ligand	receptor
FLT3LG	FLT3	1	1	0	1	1	0	NA	P49771	P36888	ligand	receptor
KITLG	KIT	1	1	0	1	1	0	NA	P21583	P10721	ligand	receptor
IGF2	IGF1R	1	1	0	1	1	0	NA	P01344	P08069	ligand	receptor
TP53	VDR	1	1	0	1	1	0	NA	P04637	P11473	ligand	receptor
TP53	TRPM2	1	0	1	1	0	1	NA	P04637	O94759	ligand	receptor
TP53	P2RX6	1	1	0	1	1	0	NA	P04637	O15547	ligand	receptor
TP53	MET	1	1	0	1	1	0	NA	P04637	P08581	ligand	receptor
TP53	TNFRSF10C	1	1	0	1	1	0	NA	P04637	O14798	ligand	receptor
TP53	TNFRSF10A	1	1	0	1	1	0	NA	P04637	O00220	ligand	receptor
TP53	TGFA	1	1	0	1	1	0	NA	P04637	P01135	ligand	receptor
CXCL9	CXCR3	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10491	Q07325	P49682	ligand	receptor
CCL5	CCR5	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10461	P13501	P51681	ligand	receptor
CCL8	CCR5	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10452	P80075	P51681	ligand	receptor
CCL4	CCR5	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10451	P13236	P51681	ligand	receptor
IL6	IL6ST	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=725	P05231	P40189	ligand	receptor
EGF	EGFR	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=58935	P01133	P00533	ligand	receptor
IL1A	IL1R1	1	1	0	1	1	0	NA	P01583	P14778	ligand	receptor
TP53	FASLG	1	1	0	1	1	0	NA	P04637	P48023	ligand	receptor
TP53	HSP90AB1	1	0	1	1	0	1	NA	P04637	P08238	ligand	receptor
TP53	LGALS3	1	1	1	1	0	1	NA	P04637	P17931	ligand	receptor
DKK1	LRP6	1	1	1	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=187809	O94907	O75581	ligand	receptor
DKK1	LRP5	1	0	1	1	0	1	NA	O94907	O75197	ligand	receptor
WNT5A	FZD5	1	1	0	1	1	0	NA	P41221	Q13467	ligand	receptor
TNFSF14	LTBR	1	1	0	1	1	0	NA	O43557	P36941	ligand	receptor
CD40LG	CD40	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=4221	P29965	P25942	ligand	receptor
LTA	TNFRSF1A	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=3928	P01374	P19438	ligand	receptor
LTB	LTBR	1	1	0	1	1	0	NA	Q06643	P36941	ligand	receptor
NRG1	ERBB2	1	1	0	1	1	0	NA	Q02297	P04626	ligand	receptor
KL	INSR	1	1	1	1	0	1	NA	Q9UEF7	P06213	ligand	receptor
KL	IGF1R	1	0	1	1	0	1	NA	Q9UEF7	P08069	ligand	receptor
NGF	NTRK1	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=9789	P01138	P04629	ligand	receptor
IL4	IL4R	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=4495	P05112	P24394	ligand	receptor
TGFA	EGFR	1	1	0	1	1	0	NA	P01135	P00533	ligand	receptor
CXCL10	CXCR3	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10492	P02778	P49682	ligand	receptor
TP53	TNFRSF10B	1	1	0	1	1	0	NA	P04637	O14763	ligand	receptor
TP53	TNFRSF10D	1	1	0	1	1	0	NA	P04637	Q9UBN6	ligand	receptor
CSF1	CSF1R	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=187846	P09603	P07333	ligand	receptor
CSF3	CSF3R	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=197514	P09919	Q99062	ligand	receptor
CSF2	CSF2RA	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=624	P04141	P15509	ligand	receptor
HGF	MET	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=65574	P14210	P08581	ligand	receptor
TNF	TNFRSF1B	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=3926	P01375	P20333	ligand	receptor
