"id_cp_interaction","partner_a","partner_b","protein_name_a","protein_name_b","annotation_strategy","source","is_ppi","curator","reactome_complex","reactome_reaction","reactome_pathway","complexPortal_complex","comments","version","interactors","classification","directionality","modulatory_effect","ligand","receptor"
NA,"CDH1","integrin_a2b1_complex","CADH1_HUMAN","","curated","PMID:12392763","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","CDH1-ITGA2+ITGB1","Adhesion by Cadherin","Adhesion-Adhesion","","CDH1","integrin_a2b1_complex"
NA,"CDH1","integrin_aEb7_complex","CADH1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","CDH1-ITGAE+ITGB7","Adhesion by Cadherin","Adhesion-Adhesion","","CDH1","integrin_aEb7_complex"
NA,"CDH1","KLRG1","CADH1_HUMAN","KLRG1_HUMAN","curated","PMC3030123","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","CDH1-KLRG1","Adhesion by Cadherin","Ligand-Receptor","","CDH1","KLRG1"
NA,"CDH2","CDH2","CADH2_HUMAN","CADH2_HUMAN","curated","uniprot","True","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1","CDH2-CDH2","Adhesion by Cadherin","Adhesion-Adhesion","","CDH2","CDH2"
NA,"CDH2","FCER2","CADH2_HUMAN","FCER2_HUMAN","curated","Shilts screen - VALIDATED","True","JShilts","","","",NA,"","CellPhoneDBcore4.1","CDH2-FCER2","Adhesion by Cadherin","Ligand-Receptor","","CDH2","FCER2"
NA,"CDH3","CDH3","CADH3_HUMAN","CADH3_HUMAN","curated","uniprot","True","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1","CDH3-CDH3","Adhesion by Cadherin","Adhesion-Adhesion","","CDH3","CDH3"
NA,"CDH5","CDH5","CADH5_HUMAN","CADH5_HUMAN","curated","uniprot","True","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1","CDH5-CDH5","Adhesion by Cadherin","Adhesion-Adhesion","","CDH5","CDH5"
NA,"CDH6","CDH6","CADH6_HUMAN","CADH6_HUMAN","curated","uniprot","True","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1","CDH6-CDH6","Adhesion by Cadherin","Adhesion-Adhesion","","CDH6","CDH6"
NA,"CDH7","CDH7","CADH7_HUMAN","CADH7_HUMAN","curated","uniprot","True","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1","CDH7-CDH7","Adhesion by Cadherin","Adhesion-Adhesion","","CDH7","CDH7"
NA,"CADM1","CADM1","CADM1_HUMAN","CADM1_HUMAN","curated","PMID:24503895","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","CADM1-CADM1","Adhesion by CADM","Adhesion-Adhesion","","CADM1","CADM1"
NA,"CADM1","NECTIN3","CADM1_HUMAN","PVRL3_HUMAN","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","CADM1-NECTIN3","Adhesion by CADM","Adhesion-Adhesion","","CADM1","NECTIN3"
NA,"CADM3","CADM1","CADM3_HUMAN","CADM1_HUMAN","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","CADM3-CADM1","Adhesion by CADM","Adhesion-Adhesion","","CADM3","CADM1"
NA,"CADM3","CADM4","CADM3_HUMAN","CADM4_HUMAN","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","CADM3-CADM4","Adhesion by CADM","Adhesion-Adhesion","","CADM3","CADM4"
NA,"CADM3","EPB41L1","CADM3_HUMAN","E41L1_HUMAN","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","CADM3-EPB41L1","Adhesion by CADM","Adhesion-Adhesion","","CADM3","EPB41L1"
NA,"CADM3","NECTIN3","CADM3_HUMAN","PVRL3_HUMAN","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","CADM3-NECTIN3","Adhesion by CADM","Adhesion-Adhesion","","CADM3","NECTIN3"
NA,"CEACAM1","CD209","CEAM1_HUMAN","CD209_HUMAN","curated","PMID:16282604;PMID:16246332","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","CEACAM1-CD209","Adhesion by CEAM","Adhesion-Adhesion","","CEACAM1","CD209"
