"interaction","ligand","receptor(s)","file","count"
"A1BG_HNF4A","A1BG","HNF4A","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"A1BG_IL6R","A1BG","IL6R","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"A1BG_IL6ST","A1BG","IL6ST","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"A2M_ALPP","A2M","ALPP","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"A2M_APP","A2M","APP","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"A2M_ATP1B3","A2M","ATP1B3","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"A2M_BSG","A2M","BSG","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"A2M_CD276","A2M","CD276","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"A2M_CD36","A2M","CD36","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"A2M_CD44","A2M","CD44","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"A2M_FOLR1","A2M","FOLR1","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"A2M_IGF2R","A2M","IGF2R","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"A2M_IL6ST","A2M","IL6ST","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"A2M_ITGA3","A2M","ITGA3","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"A2M_ITGA5","A2M","ITGA5","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"A2M_L1CAM","A2M","L1CAM","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"A2M_LRP1","A2M","LRP1","Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2019-Ximerakis-BaderLab-2017_new2.xlsx; Human-2020-Hou-LR-pairs.xlsx; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; LRdb_122019_SingleCellSignalIR.xlsx; NicheNet-LR-pairs.csv",8
"A2M_M6PR","A2M","M6PR","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"A2M_PIGR","A2M","PIGR","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"A2M_PLXNB2","A2M","PLXNB2","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"A2M_RPSA","A2M","RPSA","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"A2M_S1PR5","A2M","S1PR5","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"A2M_SCARB1","A2M","SCARB1","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"A2M_TFRC","A2M","TFRC","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"A2M_TNFRSF14","A2M","TNFRSF14","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx; NicheNet-LR-pairs.csv",2
"A2M_TREML2","A2M","TREML2","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"A2M_TYRO3","A2M","TYRO3","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx; NicheNet-LR-pairs.csv",2
"AANAT_MTNR1A","AANAT","MTNR1A","Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2020-Hou-LR-pairs.xlsx; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; LRdb_122019_SingleCellSignalIR.xlsx; NicheNet-LR-pairs.csv",7
"AANAT_MTNR1B","AANAT","MTNR1B","Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2020-Hou-LR-pairs.xlsx; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; LRdb_122019_SingleCellSignalIR.xlsx; NicheNet-LR-pairs.csv",7
"ABHD15_PPARA","ABHD15","PPARA","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"ACE2_SLC6A19","ACE2","SLC6A19","Human-2020-Shao-LR-pairs.txt; OmniPathPPIs_new.tsv",2
"ACE2_TIGIT","ACE2","TIGIT","Cellinker_Homos_2021.txt",1
"ACER1_S1PR1","ACER1","S1PR1","Human-2017-Pavlicev-LR-pairs.xlsx",1
"ACER1_S1PR2","ACER1","S1PR2","Human-2017-Pavlicev-LR-pairs.xlsx",1
"ACER1_S1PR3","ACER1","S1PR3","Human-2017-Pavlicev-LR-pairs.xlsx",1
"ACER1_S1PR4","ACER1","S1PR4","Human-2017-Pavlicev-LR-pairs.xlsx",1
"ACER1_S1PR5","ACER1","S1PR5","Human-2017-Pavlicev-LR-pairs.xlsx",1
"ACER2_S1PR1","ACER2","S1PR1","Human-2017-Pavlicev-LR-pairs.xlsx",1
"ACER2_S1PR2","ACER2","S1PR2","Human-2017-Pavlicev-LR-pairs.xlsx",1
"ACER2_S1PR3","ACER2","S1PR3","Human-2017-Pavlicev-LR-pairs.xlsx",1
"ACER2_S1PR4","ACER2","S1PR4","Human-2017-Pavlicev-LR-pairs.xlsx",1
"ACER2_S1PR5","ACER2","S1PR5","Human-2017-Pavlicev-LR-pairs.xlsx",1
"ACER3_S1PR1","ACER3","S1PR1","Human-2017-Pavlicev-LR-pairs.xlsx",1
"ACER3_S1PR2","ACER3","S1PR2","Human-2017-Pavlicev-LR-pairs.xlsx",1
"ACER3_S1PR3","ACER3","S1PR3","Human-2017-Pavlicev-LR-pairs.xlsx",1
"ACER3_S1PR4","ACER3","S1PR4","Human-2017-Pavlicev-LR-pairs.xlsx",1
"ACER3_S1PR5","ACER3","S1PR5","Human-2017-Pavlicev-LR-pairs.xlsx",1
"ACE_AGTR2","ACE","AGTR2","Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2019-Ximerakis-BaderLab-2017_new2.xlsx; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; LRdb_122019_SingleCellSignalIR.xlsx",6
"ACE_BDKRB2","ACE","BDKRB2","Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2019-Ximerakis-BaderLab-2017_new2.xlsx; Human-2020-Hou-LR-pairs.xlsx; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; LRdb_122019_SingleCellSignalIR.xlsx",7
"ACKR1_CCR5","ACKR1","CCR5","Cellinker_Homos_2021.txt",1
"ACKR3_CXCR4","ACKR3","CXCR4","Cellinker_Homos_2021.txt",1
"ACP6_HEXIM1","ACP6","HEXIM1","OmniPathPPIs_new.tsv",1
"ACPT_VSTM2B","ACPT","VSTM2B","Cellinker_Homos_2021.txt",1
"ACR_ESR1","ACR","ESR1","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"ACR_ESRRA","ACR","ESRRA","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"ACTR2_ACVR1B","ACTR2","ACVR1B","OmniPathPPIs_new.tsv",1
"ACTR2_ADRB2","ACTR2","ADRB2","Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; LRdb_122019_SingleCellSignalIR.xlsx; OmniPathPPIs_new.tsv",4
"ACTR2_LDLR","ACTR2","LDLR","Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; LRdb_122019_SingleCellSignalIR.xlsx; OmniPathPPIs_new.tsv",4
"ACTR2_LRP2","ACTR2","LRP2","Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; LRdb_122019_SingleCellSignalIR.xlsx; OmniPathPPIs_new.tsv",4
"ACVR2B_DLK1","ACVR2B","DLK1","Cellinker_Homos_2021.txt",1
"ACVRL1_ACVR2A","ACVRL1","ACVR2A","Cellinker_Homos_2021.txt",1
"ACVRL1_CDH5","ACVRL1","CDH5","Cellinker_Homos_2021.txt",1
"ACVRL1_TGFBR1","ACVRL1","TGFBR1","Cellinker_Homos_2021.txt",1
"ADAM10_AXL","ADAM10","AXL","Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; LRdb_122019_SingleCellSignalIR.xlsx",5
"ADAM10_CADM1","ADAM10","CADM1","Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv",2
"ADAM10_CD44","ADAM10","CD44","Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv",2
"ADAM10_CLDN11","ADAM10","CLDN11","Cellinker_Homos_2021.txt",1
"ADAM10_DDR1","ADAM10","DDR1","Cellinker_Homos_2021.txt",1
"ADAM10_EFNA3","ADAM10","EFNA3","Cellinker_Homos_2021.txt; LRdb_122019_SingleCellSignalIR.xlsx",2
"ADAM10_EPHA3","ADAM10","EPHA3","Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2020-Hou-LR-pairs.xlsx; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; LRdb_122019_SingleCellSignalIR.xlsx",6
"ADAM10_GPNMB","ADAM10","GPNMB","Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv",2
"ADAM10_IL6R","ADAM10","IL6R","Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv",2
"ADAM10_MET","ADAM10","MET","Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv",2
"ADAM10_NOTCH1","ADAM10","NOTCH1","Cellinker_Homos_2021.txt; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; LRdb_122019_SingleCellSignalIR.xlsx",4
"ADAM10_NOTCH2","ADAM10","NOTCH2","Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv",2
"ADAM10_NRCAM","ADAM10","NRCAM","Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv",2
"ADAM10_TREM2","ADAM10","TREM2","Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv",2
"ADAM10_TSPAN10","ADAM10","TSPAN10","Cellinker_Homos_2021.txt; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv",3
"ADAM10_TSPAN12","ADAM10","TSPAN12","Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv",2
"ADAM10_TSPAN14","ADAM10","TSPAN14","Cellinker_Homos_2021.txt; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv",3
"ADAM10_TSPAN15","ADAM10","TSPAN15","Cellinker_Homos_2021.txt; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv",3
"ADAM10_TSPAN17","ADAM10","TSPAN17","Cellinker_Homos_2021.txt; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv",3
"ADAM10_TSPAN33","ADAM10","TSPAN33","Cellinker_Homos_2021.txt",1
"ADAM10_TSPAN5","ADAM10","TSPAN5","Cellinker_Homos_2021.txt; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv",3
"ADAM11_ITGA4","ADAM11","ITGA4","Human-2020-Hou-LR-pairs.xlsx; Human-2022-Dimitrov-LR-pairs.csv",2
"ADAM12_ITGA9","ADAM12","ITGA9","Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2020-Hou-LR-pairs.xlsx; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; LRdb_122019_SingleCellSignalIR.xlsx; NicheNet-LR-pairs.csv",7
"ADAM12_ITGB1","ADAM12","ITGB1","Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2020-Hou-LR-pairs.xlsx; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; LRdb_122019_SingleCellSignalIR.xlsx; NicheNet-LR-pairs.csv",7
